"sim.cycle","total_adults_2","total_adult_females_2","total_juveniles_2","adult_drive_frequency_2","juveniles_drive_frequency_2","total_adults_3","total_adult_females_3","total_juveniles_3","adult_drive_frequency_3","juveniles_drive_frequency_3","drive_efficiency","drive_fitness","low_density_growth_rate","drop_ratio","migration_rate"
1,77310.05,48531.05,28578.4,0,0,79344,49934.35,28465.65,0,0,0.5,1,6,3,0.02
2,76721,48030.8,31433.55,0,0,79749.25,50346.05,28683.05,0,0,0.5,1,6,3,0.02
3,79308.25,49467,30920.1,0,0,80102.9,50916.6,27669.7,0,0,0.5,1,6,3,0.02
4,80783.1,50433.45,28438.85,0,0,79382.85,50793.95,27033.7,0,0,0.5,1,6,3,0.02
5,79338.55,50019.45,27814.5,0,0,78276.1,50346.55,27954.45,0,0,0.5,1,6,3,0.02
6,77447.8,49299.05,28928.35,0,0,78301.5,50324.25,28277.85,0,0,0.5,1,6,3,0.02
7,77260.5,49169,29746.1,0,0,78846.45,50486.05,28190.05,0,0,0.5,1,6,3,0.02
8,78178.1,49421.05,29504,0,0,79185.7,50637.35,27802.2,0,0,0.5,1,6,3,0.02
9,78549.3,49438.9,29320.75,0,0,78930.25,50546.25,27693.7,0,0,0.5,1,6,3,0.02
10,78539.3,49495.4,29445,0,0,78675.6,50465.25,27945.65,0,0,0.5,1,6,3,0.02
11,78755.85,49720.45,29028.8,0,0,78783.7,50551.45,27951.45,0,0,0.5,1,6,3,0.02
12,96160.85,49617.5,28644.8,0.183897,0.07980257,79260.2,50580.8,28085.05,0.0045659235,0,0.5,1,6,3,0.02
13,101900.4,46993.35,29516.15,0.269812,0.1605438,79760.9,50612.1,27491.05,0.009061285,0.003303463,0.5,1,6,3,0.02
14,97927.6,42873.85,33687.1,0.3004437,0.22520375,79105.6,50253,28029.5,0.009881145,0.008687554,0.5,1,6,3,0.02
15,96143.95,38744.8,37828.7,0.33315465,0.27669355,78952.6,49996.65,28381.3,0.01176553,0.01393051,0.5,1,6,3,0.02
16,95821.45,34805.2,40930.7,0.3636606,0.3197633,78975.15,49745,28665.8,0.01395118,0.019314005,0.5,1,6,3,0.02
17,95428.15,30829.4,42609.2,0.393739,0.35003695,79203.55,49585.2,28958.1,0.01627084,0.023787245,0.5,1,6,3,0.02
18,94206.15,27080.05,43448.25,0.4225723,0.3647043,79339.6,49326.75,29162.9,0.01850306,0.02789141,0.5,1,6,3,0.02
19,92707.7,24137.35,43204.7,0.44487905,0.3756154,79519.25,49198.95,29503.15,0.02047053,0.031035215,0.5,1,6,3,0.02
20,90666.6,21729.2,42234.55,0.4635133,0.38420355,79758.95,49173.9,29754.15,0.02221849,0.034187235,0.5,1,6,3,0.02
21,88099.6,19600.25,40928.95,0.4801511,0.3911757,79953.8,49104.8,29454.35,0.02355053,0.03799186,0.5,1,6,3,0.02
22,85235.2,17722.1,39216.2,0.495694,0.39643005,79665.4,48833.4,29895.65,0.024825255,0.040559615,0.5,1,6,3,0.02
23,82178.1,16111.3,37510.2,0.51019165,0.4010982,79698.5,48740.1,30202.1,0.026102245,0.04262233,0.5,1,6,3,0.02
24,79206.45,14692.05,35703.25,0.5245966,0.40584235,79985.4,48770.55,30239.45,0.02714,0.04510074,0.5,1,6,3,0.02
25,76144.55,13383.1,33906.25,0.5387399,0.40917955,80052.75,48699.05,29973.2,0.02787038,0.046580515,0.5,1,6,3,0.02
26,73214.5,12213.25,32066.45,0.55244885,0.4137808,79775.7,48471.4,30346.45,0.02861672,0.048673245,0.5,1,6,3,0.02
