sim.cycle,total_adults_2,total_adult_females_2,total_juveniles_2,adult_drive_frequency_2,juveniles_drive_frequency_2,total_adults_3,total_adult_females_3,total_juveniles_3,adult_drive_frequency_3,juveniles_drive_frequency_3,drive_efficiency,drive_fitness,low_density_growth_rate,drop_ratio
1,75351,47026,28804,0.0,0.0,81045,51342,28908,0.0,0.0,0.5,1.0,6.0,3.0
2,73924,45923,34531,0.0,0.0,83167,52916,25496,0.0,0.0,0.5,1.0,6.0,3.0
3,79002,48376,32995,0.0,0.0,80784,52374,24638,0.0,0.0,0.5,1.0,6.0,3.0
4,81357,49806,29429,0.0,0.0,78331,51355,25367,0.0,0.0,0.5,1.0,6.0,3.0
5,79337,49121,29017,0.0,0.0,77207,50728,27134,0.0,0.0,0.5,1.0,6.0,3.0
6,77363,48750,30535,0.0,0.0,78364,51146,28661,0.0,0.0,0.5,1.0,6.0,3.0
7,77271,48718,30120,0.0,0.0,80915,52249,25774,0.0,0.0,0.5,1.0,6.0,3.0
8,77073,48174,30312,0.0,0.0,79822,51711,25114,0.0,0.0,0.5,1.0,6.0,3.0
9,76789,47719,31409,0.0,0.0,77946,50900,27543,0.0,0.0,0.5,1.0,6.0,3.0
10,78122,48229,31695,0.0,0.0,79222,51515,27314,0.0,0.0,0.5,1.0,6.0,3.0
11,79198,48968,30742,0.0,0.0,80268,52110,25670,0.0,0.0,0.5,1.0,6.0,3.0
12,95915,49030,28951,0.175801,0.0847985,80323,51414,26511,0.0141055,0.0,0.5,1.0,6.0,3.0
13,99486,45855,29860,0.264077,0.163228,81230,51421,26881,0.0271698,0.00833302,0.5,1.0,6.0,3.0
14,94715,41187,35141,0.297566,0.226516,81038,51328,26560,0.0289494,0.0248682,0.5,1.0,6.0,3.0
15,93091,37103,39242,0.330322,0.281166,80041,50213,26421,0.0339951,0.0391166,0.5,1.0,6.0,3.0
16,93111,33162,41925,0.362514,0.316696,78572,48662,28238,0.0401606,0.0539344,0.5,1.0,6.0,3.0
17,92448,29306,42892,0.391474,0.351464,78942,47930,31307,0.0480733,0.0644584,0.5,1.0,6.0,3.0
18,90544,25409,43542,0.421187,0.362902,81660,48341,31405,0.0524369,0.0767871,0.5,1.0,6.0,3.0
19,88687,22597,42509,0.444112,0.373297,83099,48370,30619,0.059026,0.0809301,0.5,1.0,6.0,3.0
20,86253,20230,41234,0.46359,0.384743,83033,48218,31177,0.0628846,0.0925201,0.5,1.0,6.0,3.0
21,82977,17901,39777,0.482604,0.392161,82518,47719,31008,0.0670823,0.0987326,0.5,1.0,6.0,3.0
22,80145,16105,37455,0.500611,0.396022,81691,46999,30968,0.0690529,0.103978,0.5,1.0,6.0,3.0
23,76737,14462,35811,0.516029,0.399528,80665,46133,32940,0.0721441,0.108561,0.5,1.0,6.0,3.0
24,73708,13217,33703,0.529251,0.40664,81516,46098,33807,0.0740836,0.112891,0.5,1.0,6.0,3.0
25,69978,12006,31471,0.545093,0.411156,82788,45971,32770,0.0771489,0.120217,0.5,1.0,6.0,3.0
26,66790,10831,30340,0.561139,0.421045,82392,45616,33943,0.0802505,0.12026,0.5,1.0,6.0,3.0
27,64188,9484,27697,0.581425,0.420388,82624,45740,33684,0.0806908,0.125727,0.5,1.0,6.0,3.0
28,61360,8529,24930,0.596309,0.426755,82588,45724,33476,0.0815433,0.125209,0.5,1.0,6.0,3.0
29,57875,7374,23577,0.617978,0.428426,82155,45237,33991,0.0820279,0.126563,0.5,1.0,6.0,3.0
30,55139,6570,20488,0.635684,0.433473,81641,44915,34629,0.0826607,0.129241,0.5,1.0,6.0,3.0
31,51944,5598,19072,0.656544,0.435822,82342,44978,34217,0.0839608,0.126165,0.5,1.0,6.0,3.0
32,49435,4920,16581,0.675655,0.442344,82452,45077,34913,0.083303,0.127531,0.5,1.0,6.0,3.0
33,46275,4157,14758,0.69986,0.443793,82890,45272,34405,0.0833092,0.1286,0.5,1.0,6.0,3.0
