generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78441,49464,49464,0.0,0.0,0.4,0.65,6.0,concave
2,78472,49349,49349,0.0,0.0,0.4,0.65,6.0,concave
3,78129,49374,49374,0.0,0.0,0.4,0.65,6.0,concave
4,78339,49457,49457,0.0,0.0,0.4,0.65,6.0,concave
5,77692,49229,49229,0.0,0.0,0.4,0.65,6.0,concave
6,78233,49692,49692,0.0,0.0,0.4,0.65,6.0,concave
7,78384,49897,49897,0.0,0.0,0.4,0.65,6.0,concave
8,78468,50141,50141,0.0,0.0,0.4,0.65,6.0,concave
9,78844,50143,50143,0.0,0.0,0.4,0.65,6.0,concave
10,78629,49951,49951,0.0,0.0,0.4,0.65,6.0,concave
11,78224,49768,49768,0.0,0.0,0.4,0.65,6.0,concave
12,82456,49915,49915,0.0424626,0.0499492,0.4,0.65,6.0,concave
13,83924,49007,49007,0.0721631,0.091672,0.4,0.65,6.0,concave
14,81489,47101,47101,0.0877704,0.122469,0.4,0.65,6.0,concave
15,79346,44735,44735,0.105487,0.156568,0.4,0.65,6.0,concave
16,76416,42297,42297,0.123841,0.191562,0.4,0.65,6.0,concave
17,72745,39063,39063,0.141523,0.225095,0.4,0.65,6.0,concave
18,69424,36160,36160,0.158327,0.256329,0.4,0.65,6.0,concave
19,66488,33583,33583,0.171884,0.281319,0.4,0.65,6.0,concave
20,63634,31149,31149,0.183666,0.302242,0.4,0.65,6.0,concave
21,60814,28922,28922,0.198079,0.327159,0.4,0.65,6.0,concave
22,58095,26825,26825,0.208994,0.346601,0.4,0.65,6.0,concave
23,55864,25068,25068,0.219337,0.363899,0.4,0.65,6.0,concave
24,53845,23702,23702,0.228129,0.380877,0.4,0.65,6.0,concave
25,52112,22379,22379,0.238297,0.39748,0.4,0.65,6.0,concave
26,50149,21029,21029,0.24842,0.415181,0.4,0.65,6.0,concave
27,48430,19810,19810,0.255515,0.427832,0.4,0.65,6.0,concave
28,46639,18705,18705,0.265346,0.444788,0.4,0.65,6.0,concave
29,45148,17514,17514,0.272089,0.455913,0.4,0.65,6.0,concave
30,43807,16762,16762,0.278711,0.466222,0.4,0.65,6.0,concave
31,42480,15913,15913,0.287562,0.480874,0.4,0.65,6.0,concave
32,41293,15159,15159,0.293615,0.490965,0.4,0.65,6.0,concave
33,40169,14460,14460,0.299631,0.500902,0.4,0.65,6.0,concave
34,38820,13580,13580,0.307554,0.513369,0.4,0.65,6.0,concave
35,37836,12971,12971,0.312494,0.520904,0.4,0.65,6.0,concave
36,36756,12450,12450,0.317469,0.528657,0.4,0.65,6.0,concave
37,36053,12154,12154,0.322821,0.536446,0.4,0.65,6.0,concave
38,35122,11601,11601,0.329066,0.545456,0.4,0.65,6.0,concave
39,34485,11107,11107,0.334386,0.552703,0.4,0.65,6.0,concave
40,33706,10755,10755,0.336688,0.55768,0.4,0.65,6.0,concave
41,33239,10505,10505,0.341226,0.563147,0.4,0.65,6.0,concave
42,32648,10146,10146,0.346298,0.569124,0.4,0.65,6.0,concave
43,31815,9736,9736,0.351141,0.579658,0.4,0.65,6.0,concave
44,31180,9372,9372,0.353849,0.582606,0.4,0.65,6.0,concave
45,30714,9060,9060,0.360875,0.592307,0.4,0.65,6.0,concave
46,30038,8752,8752,0.363847,0.596595,0.4,0.65,6.0,concave
47,29246,8365,8365,0.367896,0.602435,0.4,0.65,6.0,concave
48,28723,8144,8144,0.370267,0.603531,0.4,0.65,6.0,concave
49,28122,7921,7921,0.376323,0.613827,0.4,0.65,6.0,concave
50,27603,7592,7592,0.378482,0.616059,0.4,0.65,6.0,concave
51,27123,7456,7456,0.381627,0.62013,0.4,0.65,6.0,concave
52,26774,7147,7147,0.386961,0.628021,0.4,0.65,6.0,concave
53,26251,6907,6907,0.39156,0.634036,0.4,0.65,6.0,concave
54,25604,6640,6640,0.397255,0.640915,0.4,0.65,6.0,concave
55,25042,6408,6408,0.400477,0.646335,0.4,0.65,6.0,concave
56,24579,6117,6117,0.403867,0.650988,0.4,0.65,6.0,concave
57,24339,5948,5948,0.407793,0.654065,0.4,0.65,6.0,concave
58,23897,5756,5756,0.414,0.662097,0.4,0.65,6.0,concave
59,23463,5540,5540,0.420133,0.667747,0.4,0.65,6.0,concave
60,22713,5350,5350,0.422282,0.669905,0.4,0.65,6.0,concave
61,22272,5176,5176,0.428628,0.680053,0.4,0.65,6.0,concave
62,21594,4928,4928,0.432515,0.685791,0.4,0.65,6.0,concave
63,21357,4767,4767,0.437595,0.691599,0.4,0.65,6.0,concave
64,20857,4503,4503,0.444247,0.699006,0.4,0.65,6.0,concave
65,20558,4375,4375,0.449136,0.704367,0.4,0.65,6.0,concave
66,19791,4178,4178,0.451426,0.706565,0.4,0.65,6.0,concave
67,19980,4034,4034,0.456915,0.710799,0.4,0.65,6.0,concave
68,19331,3857,3857,0.462944,0.721687,0.4,0.65,6.0,concave
69,18978,3629,3629,0.472348,0.731421,0.4,0.65,6.0,concave
70,18361,3475,3475,0.478578,0.736297,0.4,0.65,6.0,concave
71,17891,3340,3340,0.484991,0.741361,0.4,0.65,6.0,concave
72,17464,3208,3208,0.492384,0.750502,0.4,0.65,6.0,concave
73,16738,2937,2937,0.494774,0.754402,0.4,0.65,6.0,concave
74,16647,2826,2826,0.505594,0.761485,0.4,0.65,6.0,concave
75,15941,2589,2589,0.511064,0.764893,0.4,0.65,6.0,concave
76,15528,2523,2523,0.520112,0.776411,0.4,0.65,6.0,concave
77,14865,2315,2315,0.525372,0.78005,0.4,0.65,6.0,concave
78,14567,2203,2203,0.535483,0.789262,0.4,0.65,6.0,concave
79,14239,2026,2026,0.543754,0.796963,0.4,0.65,6.0,concave
