generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77891,48987,48987,0.0,0.0,0.95,5.0,6.0,convex
2,78359,49378,49378,0.0,0.0,0.95,5.0,6.0,convex
3,83211,52130,52130,0.0,0.0,0.95,5.0,6.0,convex
4,78290,49894,49894,0.0,0.0,0.95,5.0,6.0,convex
5,71633,46702,46702,0.0,0.0,0.95,5.0,6.0,convex
6,79398,50371,50371,0.0,0.0,0.95,5.0,6.0,convex
7,87834,54431,54431,0.0,0.0,0.95,5.0,6.0,convex
8,75535,48447,48447,0.0,0.0,0.95,5.0,6.0,convex
9,67392,44758,44758,0.0,0.0,0.95,5.0,6.0,convex
10,83102,52484,52484,0.0,0.0,0.95,5.0,6.0,convex
11,93250,56981,56981,0.0,0.0,0.95,5.0,6.0,convex
12,98214,44950,44950,0.276172,0.290676,0.95,5.0,6.0,convex
13,99436,37879,37879,0.34472,0.405167,0.95,5.0,6.0,convex
14,127029,46616,46616,0.350003,0.437958,0.95,5.0,6.0,convex
15,134522,45383,45383,0.382631,0.485892,0.95,5.0,6.0,convex
16,118863,36271,36271,0.426432,0.585074,0.95,5.0,6.0,convex
17,117669,31866,31866,0.465229,0.667089,0.95,5.0,6.0,convex
18,121056,28376,28376,0.48693,0.71884,0.95,5.0,6.0,convex
19,122896,23788,23788,0.505978,0.760107,0.95,5.0,6.0,convex
20,119477,18890,18890,0.527763,0.796884,0.95,5.0,6.0,convex
21,116074,16047,16047,0.547719,0.823022,0.95,5.0,6.0,convex
22,110873,13679,13679,0.569207,0.849195,0.95,5.0,6.0,convex
23,104021,10902,10902,0.592369,0.872429,0.95,5.0,6.0,convex
24,97219,8685,8685,0.618049,0.892262,0.95,5.0,6.0,convex
25,89522,6613,6613,0.64644,0.908845,0.95,5.0,6.0,convex
26,81923,5060,5060,0.679774,0.923405,0.95,5.0,6.0,convex
27,74027,3600,3600,0.717386,0.938619,0.95,5.0,6.0,convex
28,67853,2601,2601,0.757435,0.950978,0.95,5.0,6.0,convex
29,61812,1832,1832,0.800231,0.961708,0.95,5.0,6.0,convex
30,57563,1230,1230,0.842199,0.972923,0.95,5.0,6.0,convex
31,53716,754,754,0.881484,0.98253,0.95,5.0,6.0,convex
32,51068,446,446,0.915024,0.98896,0.95,5.0,6.0,convex
33,49244,279,279,0.941895,0.993447,0.95,5.0,6.0,convex
34,47724,145,145,0.962803,0.996551,0.95,5.0,6.0,convex
35,46804,71,71,0.978396,0.998307,0.95,5.0,6.0,convex
36,46177,37,37,0.988266,0.999181,0.95,5.0,6.0,convex
37,45754,19,19,0.993407,0.999564,0.95,5.0,6.0,convex
38,45483,13,13,0.996619,0.999715,0.95,5.0,6.0,convex
39,45275,3,3,0.998081,0.999934,0.95,5.0,6.0,convex
40,45252,0,0,0.99905,1.0,0.95,5.0,6.0,convex

