generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78653,49705,49705,0.0,0.0,0.2,3.0,6.0,linear
2,78611,49706,49706,0.0,0.0,0.2,3.0,6.0,linear
3,78926,50257,50257,0.0,0.0,0.2,3.0,6.0,linear
4,79247,50375,50375,0.0,0.0,0.2,3.0,6.0,linear
5,77992,49873,49873,0.0,0.0,0.2,3.0,6.0,linear
6,77200,49476,49476,0.0,0.0,0.2,3.0,6.0,linear
7,78733,50107,50107,0.0,0.0,0.2,3.0,6.0,linear
8,79803,50554,50554,0.0,0.0,0.2,3.0,6.0,linear
9,79391,50447,50447,0.0,0.0,0.2,3.0,6.0,linear
10,77677,49772,49772,0.0,0.0,0.2,3.0,6.0,linear
11,78053,49978,49978,0.0,0.0,0.2,3.0,6.0,linear
12,97310,50214,50214,0.162031,0.179972,0.2,3.0,6.0,linear
13,103631,47550,47550,0.248621,0.291164,0.2,3.0,6.0,linear
14,98780,43351,43351,0.283524,0.363731,0.2,3.0,6.0,linear
15,97655,39499,39499,0.320273,0.439634,0.2,3.0,6.0,linear
16,97582,35569,35569,0.351322,0.505805,0.2,3.0,6.0,linear
17,97105,31546,31546,0.379752,0.563388,0.2,3.0,6.0,linear
18,95728,28056,28056,0.399205,0.603895,0.2,3.0,6.0,linear
19,95314,25762,25762,0.414146,0.632017,0.2,3.0,6.0,linear
20,93894,23870,23870,0.424538,0.651012,0.2,3.0,6.0,linear
21,92005,22197,22197,0.433025,0.664482,0.2,3.0,6.0,linear
22,90375,20868,20868,0.439892,0.674522,0.2,3.0,6.0,linear
23,88929,19970,19970,0.447206,0.684329,0.2,3.0,6.0,linear
24,86886,19039,19039,0.452152,0.692346,0.2,3.0,6.0,linear
25,85660,18193,18193,0.458134,0.69846,0.2,3.0,6.0,linear
26,84207,17578,17578,0.46248,0.703717,0.2,3.0,6.0,linear
27,82618,17000,17000,0.467498,0.710094,0.2,3.0,6.0,linear
28,81465,16313,16313,0.471883,0.71489,0.2,3.0,6.0,linear
29,79938,15643,15643,0.475042,0.717497,0.2,3.0,6.0,linear
30,79454,15423,15423,0.47888,0.722785,0.2,3.0,6.0,linear
31,78157,14871,14871,0.482339,0.726165,0.2,3.0,6.0,linear
32,76840,14409,14409,0.485498,0.729959,0.2,3.0,6.0,linear
33,75726,13925,13925,0.490356,0.734759,0.2,3.0,6.0,linear
34,74650,13608,13608,0.495824,0.739504,0.2,3.0,6.0,linear
35,73242,13069,13069,0.49902,0.742885,0.2,3.0,6.0,linear
36,72493,12744,12744,0.503688,0.746316,0.2,3.0,6.0,linear
37,71534,12422,12422,0.506369,0.749445,0.2,3.0,6.0,linear
38,70437,11953,11953,0.511914,0.756522,0.2,3.0,6.0,linear
39,69583,11484,11484,0.517757,0.760328,0.2,3.0,6.0,linear
40,68482,11220,11220,0.521992,0.763755,0.2,3.0,6.0,linear
41,67006,10616,10616,0.526434,0.77042,0.2,3.0,6.0,linear
42,66136,10078,10078,0.533792,0.777732,0.2,3.0,6.0,linear
43,64623,9538,9538,0.539153,0.782077,0.2,3.0,6.0,linear
44,63708,9230,9230,0.545504,0.786919,0.2,3.0,6.0,linear
45,62399,8898,8898,0.551599,0.791232,0.2,3.0,6.0,linear
46,60922,8455,8455,0.556752,0.798335,0.2,3.0,6.0,linear
47,59746,8049,8049,0.563574,0.800632,0.2,3.0,6.0,linear
48,58629,7609,7609,0.571764,0.809541,0.2,3.0,6.0,linear
49,57106,7147,7147,0.582626,0.817686,0.2,3.0,6.0,linear
50,55261,6542,6542,0.590695,0.825222,0.2,3.0,6.0,linear
51,54108,6129,6129,0.601191,0.830883,0.2,3.0,6.0,linear
52,52525,5697,5697,0.611237,0.839177,0.2,3.0,6.0,linear
53,50560,5195,5195,0.622565,0.847308,0.2,3.0,6.0,linear
54,49403,4746,4746,0.638117,0.856219,0.2,3.0,6.0,linear
55,47568,4342,4342,0.650645,0.864458,0.2,3.0,6.0,linear
56,46116,3921,3921,0.66426,0.871544,0.2,3.0,6.0,linear
57,44421,3498,3498,0.680159,0.88177,0.2,3.0,6.0,linear
58,43025,3104,3104,0.697395,0.892794,0.2,3.0,6.0,linear
