drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.0,0.0,6.0,concave,NAN
0.0,0.05,6.0,concave,NAN
0.0,0.1,6.0,concave,NAN
0.0,0.15,6.0,concave,NAN
0.0,0.2,6.0,concave,NAN
0.0,0.25,6.0,concave,NAN
0.0,0.3,6.0,concave,NAN
0.0,0.35,6.0,concave,NAN
0.0,0.4,6.0,concave,NAN
0.0,0.45,6.0,concave,NAN
0.0,0.5,6.0,concave,NAN
0.0,0.55,6.0,concave,NAN
0.0,0.6,6.0,concave,NAN
0.0,0.65,6.0,concave,NAN
0.0,0.7,6.0,concave,NAN
0.0,0.75,6.0,concave,NAN
0.0,0.8,6.0,concave,NAN
0.0,0.85,6.0,concave,190.150
0.0,0.9,6.0,concave,140.350
0.0,0.95,6.0,concave,116.700
0.0,1.0,6.0,concave,102.350
0.05,0.0,6.0,concave,NAN
0.05,0.05,6.0,concave,NAN
0.05,0.1,6.0,concave,NAN
0.05,0.15,6.0,concave,NAN
0.05,0.2,6.0,concave,NAN
0.05,0.25,6.0,concave,NAN
0.05,0.3,6.0,concave,NAN
0.05,0.35,6.0,concave,NAN
0.05,0.4,6.0,concave,NAN
0.05,0.45,6.0,concave,NAN
0.05,0.5,6.0,concave,NAN
0.05,0.55,6.0,concave,NAN
0.05,0.6,6.0,concave,NAN
0.05,0.65,6.0,concave,NAN
0.05,0.7,6.0,concave,NAN
0.05,0.75,6.0,concave,NAN
0.05,0.8,6.0,concave,206.850
0.05,0.85,6.0,concave,145.150
0.05,0.9,6.0,concave,118.350
0.05,0.95,6.0,concave,102.200
0.05,1.0,6.0,concave,91.850
0.1,0.0,6.0,concave,NAN
0.1,0.05,6.0,concave,NAN
0.1,0.1,6.0,concave,NAN
0.1,0.15,6.0,concave,NAN
0.1,0.2,6.0,concave,NAN
0.1,0.25,6.0,concave,NAN
0.1,0.3,6.0,concave,NAN
0.1,0.35,6.0,concave,NAN
0.1,0.4,6.0,concave,NAN
0.1,0.45,6.0,concave,NAN
0.1,0.5,6.0,concave,NAN
0.1,0.55,6.0,concave,NAN
0.1,0.6,6.0,concave,NAN
0.1,0.65,6.0,concave,NAN
0.1,0.7,6.0,concave,NAN
0.1,0.75,6.0,concave,239.600
0.1,0.8,6.0,concave,150.150
0.1,0.85,6.0,concave,119.500
0.1,0.9,6.0,concave,103.900
0.1,0.95,6.0,concave,93.550
0.1,1.0,6.0,concave,84.700
0.15,0.0,6.0,concave,NAN
0.15,0.05,6.0,concave,NAN
0.15,0.1,6.0,concave,NAN
0.15,0.15,6.0,concave,NAN
0.15,0.2,6.0,concave,NAN
0.15,0.25,6.0,concave,NAN
0.15,0.3,6.0,concave,NAN
0.15,0.35,6.0,concave,NAN
0.15,0.4,6.0,concave,NAN
0.15,0.45,6.0,concave,NAN
0.15,0.5,6.0,concave,NAN
0.15,0.55,6.0,concave,NAN
0.15,0.6,6.0,concave,NAN
0.15,0.65,6.0,concave,NAN
0.15,0.7,6.0,concave,268.500
0.15,0.75,6.0,concave,159.100
0.15,0.8,6.0,concave,121.750
0.15,0.85,6.0,concave,104.750
0.15,0.9,6.0,concave,94.300
0.15,0.95,6.0,concave,85.100
0.15,1.0,6.0,concave,79.900
0.2,0.0,6.0,concave,NAN
0.2,0.05,6.0,concave,NAN
0.2,0.1,6.0,concave,NAN
0.2,0.15,6.0,concave,NAN
0.2,0.2,6.0,concave,NAN
0.2,0.25,6.0,concave,NAN
0.2,0.3,6.0,concave,NAN
0.2,0.35,6.0,concave,NAN
0.2,0.4,6.0,concave,NAN
0.2,0.45,6.0,concave,NAN
0.2,0.5,6.0,concave,NAN
0.2,0.55,6.0,concave,NAN
0.2,0.6,6.0,concave,NAN
0.2,0.65,6.0,concave,NAN
0.2,0.7,6.0,concave,168.650
0.2,0.75,6.0,concave,126.750
0.2,0.8,6.0,concave,107.200
0.2,0.85,6.0,concave,93.400
0.2,0.9,6.0,concave,85.200
0.2,0.95,6.0,concave,79.250
0.2,1.0,6.0,concave,74.300
0.25,0.0,6.0,concave,NAN
0.25,0.05,6.0,concave,NAN
0.25,0.1,6.0,concave,NAN
0.25,0.15,6.0,concave,NAN
0.25,0.2,6.0,concave,NAN
0.25,0.25,6.0,concave,NAN
0.25,0.3,6.0,concave,NAN
0.25,0.35,6.0,concave,NAN
0.25,0.4,6.0,concave,NAN
0.25,0.45,6.0,concave,NAN
0.25,0.5,6.0,concave,NAN
0.25,0.55,6.0,concave,NAN
0.25,0.6,6.0,concave,NAN
0.25,0.65,6.0,concave,179.800
0.25,0.7,6.0,concave,129.800
0.25,0.75,6.0,concave,108.750
0.25,0.8,6.0,concave,94.500
0.25,0.85,6.0,concave,85.000
0.25,0.9,6.0,concave,78.950
0.25,0.95,6.0,concave,74.250
0.25,1.0,6.0,concave,70.100
0.3,0.0,6.0,concave,NAN
0.3,0.05,6.0,concave,NAN
0.3,0.1,6.0,concave,NAN
0.3,0.15,6.0,concave,NAN
0.3,0.2,6.0,concave,NAN
0.3,0.25,6.0,concave,NAN
0.3,0.3,6.0,concave,NAN
0.3,0.35,6.0,concave,NAN
0.3,0.4,6.0,concave,NAN
0.3,0.45,6.0,concave,NAN
0.3,0.5,6.0,concave,NAN
0.3,0.55,6.0,concave,NAN
0.3,0.6,6.0,concave,196.050
0.3,0.65,6.0,concave,133.350
0.3,0.7,6.0,concave,109.900
0.3,0.75,6.0,concave,94.700
0.3,0.8,6.0,concave,86.000
0.3,0.85,6.0,concave,78.600
0.3,0.9,6.0,concave,73.400
0.3,0.95,6.0,concave,69.550
0.3,1.0,6.0,concave,65.950
0.35,0.0,6.0,concave,NAN
0.35,0.05,6.0,concave,NAN
0.35,0.1,6.0,concave,NAN
0.35,0.15,6.0,concave,NAN
0.35,0.2,6.0,concave,NAN
0.35,0.25,6.0,concave,NAN
0.35,0.3,6.0,concave,NAN
0.35,0.35,6.0,concave,NAN
0.35,0.4,6.0,concave,NAN
0.35,0.45,6.0,concave,NAN
0.35,0.5,6.0,concave,NAN
0.35,0.55,6.0,concave,216.900
0.35,0.6,6.0,concave,141.700
0.35,0.65,6.0,concave,112.450
0.35,0.7,6.0,concave,96.500
0.35,0.75,6.0,concave,87.100
0.35,0.8,6.0,concave,79.550
0.35,0.85,6.0,concave,74.000
0.35,0.9,6.0,concave,69.650
0.35,0.95,6.0,concave,67.000
0.35,1.0,6.0,concave,63.050
0.4,0.0,6.0,concave,NAN
0.4,0.05,6.0,concave,NAN
0.4,0.1,6.0,concave,NAN
0.4,0.15,6.0,concave,NAN
0.4,0.2,6.0,concave,NAN
0.4,0.25,6.0,concave,NAN
0.4,0.3,6.0,concave,NAN
0.4,0.35,6.0,concave,NAN
0.4,0.4,6.0,concave,NAN
0.4,0.45,6.0,concave,NAN
0.4,0.5,6.0,concave,252.350
0.4,0.55,6.0,concave,145.300
0.4,0.6,6.0,concave,115.350
0.4,0.65,6.0,concave,97.050
0.4,0.7,6.0,concave,87.400
0.4,0.75,6.0,concave,79.650
0.4,0.8,6.0,concave,74.250
0.4,0.85,6.0,concave,69.500
0.4,0.9,6.0,concave,66.100
0.4,0.95,6.0,concave,63.150
0.4,1.0,6.0,concave,60.350
0.45,0.0,6.0,concave,NAN
0.45,0.05,6.0,concave,NAN
0.45,0.1,6.0,concave,NAN
0.45,0.15,6.0,concave,NAN
0.45,0.2,6.0,concave,NAN
0.45,0.25,6.0,concave,NAN
0.45,0.3,6.0,concave,NAN
0.45,0.35,6.0,concave,NAN
0.45,0.4,6.0,concave,NAN
0.45,0.45,6.0,concave,299.250
0.45,0.5,6.0,concave,157.150
0.45,0.55,6.0,concave,117.400
0.45,0.6,6.0,concave,99.100
0.45,0.65,6.0,concave,87.950
0.45,0.7,6.0,concave,79.150
0.45,0.75,6.0,concave,73.450
0.45,0.8,6.0,concave,68.150
0.45,0.85,6.0,concave,64.800
0.45,0.9,6.0,concave,62.000
0.45,0.95,6.0,concave,59.600
0.45,1.0,6.0,concave,56.950
0.5,0.0,6.0,concave,NAN
0.5,0.05,6.0,concave,NAN
0.5,0.1,6.0,concave,NAN
0.5,0.15,6.0,concave,NAN
0.5,0.2,6.0,concave,NAN
0.5,0.25,6.0,concave,NAN
0.5,0.3,6.0,concave,NAN
0.5,0.35,6.0,concave,NAN
0.5,0.4,6.0,concave,NAN
0.5,0.45,6.0,concave,167.050
0.5,0.5,6.0,concave,121.450
0.5,0.55,6.0,concave,100.350
0.5,0.6,6.0,concave,87.950
0.5,0.65,6.0,concave,79.050
0.5,0.7,6.0,concave,73.850
0.5,0.75,6.0,concave,69.050
0.5,0.8,6.0,concave,65.150
0.5,0.85,6.0,concave,61.950
0.5,0.9,6.0,concave,58.800
0.5,0.95,6.0,concave,57.000
0.5,1.0,6.0,concave,54.650
0.55,0.0,6.0,concave,NAN
0.55,0.05,6.0,concave,NAN
0.55,0.1,6.0,concave,NAN
0.55,0.15,6.0,concave,NAN
0.55,0.2,6.0,concave,NAN
0.55,0.25,6.0,concave,NAN
0.55,0.3,6.0,concave,NAN
0.55,0.35,6.0,concave,NAN
0.55,0.4,6.0,concave,179.800
