generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78230,49220,49220,0.0,0.0,0.5,2.25,6.0,linear
2,77806,48916,48916,0.0,0.0,0.5,2.25,6.0,linear
3,79786,50101,50101,0.0,0.0,0.5,2.25,6.0,linear
4,80806,50940,50940,0.0,0.0,0.5,2.25,6.0,linear
5,78509,49938,49938,0.0,0.0,0.5,2.25,6.0,linear
6,77357,49574,49574,0.0,0.0,0.5,2.25,6.0,linear
7,78324,49844,49844,0.0,0.0,0.5,2.25,6.0,linear
8,79006,50056,50056,0.0,0.0,0.5,2.25,6.0,linear
9,79502,50172,50172,0.0,0.0,0.5,2.25,6.0,linear
10,79491,50361,50361,0.0,0.0,0.5,2.25,6.0,linear
11,78920,50359,50359,0.0,0.0,0.5,2.25,6.0,linear
12,92105,49871,49871,0.124823,0.137583,0.5,2.25,6.0,linear
13,97531,48270,48270,0.195853,0.229324,0.5,2.25,6.0,linear
14,94067,45296,45296,0.222005,0.283913,0.5,2.25,6.0,linear
15,92843,42282,42282,0.251604,0.346239,0.5,2.25,6.0,linear
16,92916,39449,39449,0.277516,0.399908,0.5,2.25,6.0,linear
17,92716,36485,36485,0.302861,0.452624,0.5,2.25,6.0,linear
18,92699,33783,33783,0.323236,0.493847,0.5,2.25,6.0,linear
19,92530,31749,31749,0.335866,0.522489,0.5,2.25,6.0,linear
20,92653,30129,30129,0.347558,0.546028,0.5,2.25,6.0,linear
21,91911,28763,28763,0.356696,0.563613,0.5,2.25,6.0,linear
22,91014,27382,27382,0.364706,0.579006,0.5,2.25,6.0,linear
23,90460,26463,26463,0.372257,0.59206,0.5,2.25,6.0,linear
24,88935,25448,25448,0.377202,0.600787,0.5,2.25,6.0,linear
25,88159,24708,24708,0.381855,0.609086,0.5,2.25,6.0,linear
26,86975,23802,23802,0.386879,0.617175,0.5,2.25,6.0,linear
27,85853,22854,22854,0.391937,0.625804,0.5,2.25,6.0,linear
28,84633,22033,22033,0.398536,0.63641,0.5,2.25,6.0,linear
29,83607,21301,21301,0.402803,0.643353,0.5,2.25,6.0,linear
30,82124,20617,20617,0.406721,0.650064,0.5,2.25,6.0,linear
31,81348,20008,20008,0.409737,0.65334,0.5,2.25,6.0,linear
32,80061,19472,19472,0.413513,0.658039,0.5,2.25,6.0,linear
33,79432,19136,19136,0.416679,0.662838,0.5,2.25,6.0,linear
34,78451,18565,18565,0.418642,0.665044,0.5,2.25,6.0,linear
35,77843,18345,18345,0.420256,0.667172,0.5,2.25,6.0,linear
36,77410,18100,18100,0.421801,0.667958,0.5,2.25,6.0,linear
37,76920,17786,17786,0.425266,0.673292,0.5,2.25,6.0,linear
38,76029,17397,17397,0.426535,0.674948,0.5,2.25,6.0,linear
39,75363,17163,17163,0.428041,0.677105,0.5,2.25,6.0,linear
40,74660,16830,16830,0.431241,0.680641,0.5,2.25,6.0,linear
41,74040,16695,16695,0.431726,0.681072,0.5,2.25,6.0,linear
42,74167,16503,16503,0.43454,0.684951,0.5,2.25,6.0,linear
43,73218,16092,16092,0.436257,0.686966,0.5,2.25,6.0,linear
44,72988,15973,15973,0.438162,0.690663,0.5,2.25,6.0,linear
45,72499,15710,15710,0.440417,0.691991,0.5,2.25,6.0,linear
46,71820,15521,15521,0.442726,0.696275,0.5,2.25,6.0,linear
47,71548,15123,15123,0.44505,0.698594,0.5,2.25,6.0,linear
48,70995,14991,14991,0.445961,0.699675,0.5,2.25,6.0,linear
49,70434,14868,14868,0.448324,0.703726,0.5,2.25,6.0,linear
50,69824,14540,14540,0.450221,0.704392,0.5,2.25,6.0,linear
51,69173,14383,14383,0.452839,0.708828,0.5,2.25,6.0,linear
52,68553,14065,14065,0.456189,0.712639,0.5,2.25,6.0,linear
53,67752,13638,13638,0.458887,0.716778,0.5,2.25,6.0,linear
54,67029,13417,13417,0.462077,0.720727,0.5,2.25,6.0,linear
55,66266,13016,13016,0.465296,0.722233,0.5,2.25,6.0,linear
56,65127,12648,12648,0.467327,0.723769,0.5,2.25,6.0,linear
57,64830,12445,12445,0.470588,0.728217,0.5,2.25,6.0,linear
58,63916,12191,12191,0.471362,0.728667,0.5,2.25,6.0,linear
59,63226,11923,11923,0.474337,0.731624,0.5,2.25,6.0,linear
60,62694,11551,11551,0.47811,0.736864,0.5,2.25,6.0,linear
61,62070,11332,11332,0.480885,0.738401,0.5,2.25,6.0,linear
62,60597,11016,11016,0.481729,0.739668,0.5,2.25,6.0,linear
63,60039,10918,10918,0.484841,0.742208,0.5,2.25,6.0,linear
64,59238,10548,10548,0.488496,0.747303,0.5,2.25,6.0,linear
65,59093,10426,10426,0.491012,0.748302,0.5,2.25,6.0,linear
66,58596,10228,10228,0.495621,0.753569,0.5,2.25,6.0,linear
67,57800,9938,9938,0.499167,0.757747,0.5,2.25,6.0,linear
68,57053,9621,9621,0.503458,0.763356,0.5,2.25,6.0,linear
69,55920,9136,9136,0.509145,0.769896,0.5,2.25,6.0,linear
70,55120,8850,8850,0.514414,0.774313,0.5,2.25,6.0,linear
71,53941,8574,8574,0.519018,0.77803,0.5,2.25,6.0,linear
72,52922,8209,8209,0.522965,0.781521,0.5,2.25,6.0,linear
73,52374,7859,7859,0.530962,0.787941,0.5,2.25,6.0,linear
74,50690,7423,7423,0.536898,0.793906,0.5,2.25,6.0,linear
75,49656,7000,7000,0.543376,0.799336,0.5,2.25,6.0,linear
76,48435,6688,6688,0.549415,0.803157,0.5,2.25,6.0,linear
77,47297,6334,6334,0.557671,0.809231,0.5,2.25,6.0,linear
78,45806,5845,5845,0.566114,0.816489,0.5,2.25,6.0,linear
79,44447,5489,5489,0.577039,0.823585,0.5,2.25,6.0,linear
80,43050,5020,5020,0.587326,0.83018,0.5,2.25,6.0,linear
81,41714,4632,4632,0.598078,0.837256,0.5,2.25,6.0,linear
82,40205,4195,4195,0.611247,0.845807,0.5,2.25,6.0,linear
83,38751,3796,3796,0.625923,0.854096,0.5,2.25,6.0,linear
84,37176,3440,3440,0.63945,0.864006,0.5,2.25,6.0,linear
85,35962,3151,3151,0.653002,0.873885,0.5,2.25,6.0,linear
86,34681,2790,2790,0.66838,0.885135,0.5,2.25,6.0,linear
87,33357,2433,2433,0.687356,0.891974,0.5,2.25,6.0,linear
88,31979,2128,2128,0.704985,0.901341,0.5,2.25,6.0,linear
89,30756,1803,1803,0.725933,0.909659,0.5,2.25,6.0,linear
90,29534,1503,1503,0.749894,0.921487,0.5,2.25,6.0,linear
91,28081,1262,1262,0.775473,0.932569,0.5,2.25,6.0,linear
92,26692,1029,1029,0.798079,0.943558,0.5,2.25,6.0,linear
93,25917,819,819,0.824013,0.953827,0.5,2.25,6.0,linear
94,24918,622,622,0.848251,0.962743,0.5,2.25,6.0,linear
95,24222,456,456,0.875247,0.970803,0.5,2.25,6.0,linear
96,23386,361,361,0.898695,0.976896,0.5,2.25,6.0,linear
97,22425,245,245,0.923087,0.983613,0.5,2.25,6.0,linear
98,22079,178,178,0.943017,0.988599,0.5,2.25,6.0,linear
99,21476,121,121,0.958367,0.992509,0.5,2.25,6.0,linear
100,21020,69,69,0.969457,0.995477,0.5,2.25,6.0,linear
101,20715,42,42,0.979818,0.997612,0.5,2.25,6.0,linear
102,20726,26,26,0.986918,0.998371,0.5,2.25,6.0,linear
103,20637,17,17,0.991841,0.999083,0.5,2.25,6.0,linear
104,20377,11,11,0.994865,0.999315,0.5,2.25,6.0,linear
105,20381,9,9,0.997058,0.999559,0.5,2.25,6.0,linear
106,20361,8,8,0.997573,0.999608,0.5,2.25,6.0,linear
107,20336,4,4,0.998306,0.999804,0.5,2.25,6.0,linear
108,20397,2,2,0.999044,0.999902,0.5,2.25,6.0,linear
109,20418,2,2,0.999192,0.999902,0.5,2.25,6.0,linear
110,20277,0,0,0.99963,1.0,0.5,2.25,6.0,linear

