generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77979,49138,49138,0.0,0.0,0.0,2.5,6.0,linear
2,78106,49008,49008,0.0,0.0,0.0,2.5,6.0,linear
3,80084,50164,50164,0.0,0.0,0.0,2.5,6.0,linear
4,80221,50530,50530,0.0,0.0,0.0,2.5,6.0,linear
5,79532,50567,50567,0.0,0.0,0.0,2.5,6.0,linear
6,79032,50483,50483,0.0,0.0,0.0,2.5,6.0,linear
7,77519,49657,49657,0.0,0.0,0.0,2.5,6.0,linear
8,78063,49770,49770,0.0,0.0,0.0,2.5,6.0,linear
9,78635,49922,49922,0.0,0.0,0.0,2.5,6.0,linear
10,79389,50324,50324,0.0,0.0,0.0,2.5,6.0,linear
11,79228,50240,50240,0.0,0.0,0.0,2.5,6.0,linear
12,93203,49904,49904,0.135307,0.147227,0.0,2.5,6.0,linear
13,98967,48205,48205,0.20685,0.237863,0.0,2.5,6.0,linear
14,96418,45184,45184,0.233137,0.290673,0.0,2.5,6.0,linear
15,95178,42150,42150,0.260164,0.34767,0.0,2.5,6.0,linear
16,95310,39731,39731,0.282969,0.396029,0.0,2.5,6.0,linear
17,96349,37583,37583,0.300934,0.435249,0.0,2.5,6.0,linear
18,96625,35654,35654,0.315202,0.465558,0.0,2.5,6.0,linear
19,96847,34262,34262,0.32267,0.483705,0.0,2.5,6.0,linear
20,98020,33570,33570,0.328659,0.495596,0.0,2.5,6.0,linear
21,97812,33068,33068,0.331087,0.501122,0.0,2.5,6.0,linear
22,97732,32993,32993,0.332708,0.505411,0.0,2.5,6.0,linear
23,97931,32739,32739,0.335719,0.510354,0.0,2.5,6.0,linear
24,97273,32072,32072,0.335062,0.509644,0.0,2.5,6.0,linear
25,97804,32285,32285,0.335058,0.509592,0.0,2.5,6.0,linear
26,97597,32304,32304,0.335341,0.510119,0.0,2.5,6.0,linear
27,97970,32446,32446,0.334721,0.509861,0.0,2.5,6.0,linear
