generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78556,49533,49533,0.0,0.0,0.0,1.8,6.0,linear
2,78384,49542,49542,0.0,0.0,0.0,1.8,6.0,linear
3,78850,49835,49835,0.0,0.0,0.0,1.8,6.0,linear
4,78862,50079,50079,0.0,0.0,0.0,1.8,6.0,linear
5,78624,50079,50079,0.0,0.0,0.0,1.8,6.0,linear
6,78720,50267,50267,0.0,0.0,0.0,1.8,6.0,linear
7,78601,50172,50172,0.0,0.0,0.0,1.8,6.0,linear
8,78167,49881,49881,0.0,0.0,0.0,1.8,6.0,linear
9,78331,49973,49973,0.0,0.0,0.0,1.8,6.0,linear
10,79563,50723,50723,0.0,0.0,0.0,1.8,6.0,linear
11,78834,50206,50206,0.0,0.0,0.0,1.8,6.0,linear
12,88197,49503,49503,0.0874541,0.0874541,0.0,1.8,6.0,linear
13,102332,53741,53741,0.113706,0.113706,0.0,1.8,6.0,linear
14,112943,59310,59310,0.104711,0.104711,0.0,1.8,6.0,linear
15,120378,63789,63789,0.100047,0.100047,0.0,1.8,6.0,linear
16,124754,67183,67183,0.0986739,0.0986739,0.0,1.8,6.0,linear
17,126674,69459,69459,0.0988038,0.0988038,0.0,1.8,6.0,linear
18,125657,69798,69798,0.100572,0.100572,0.0,1.8,6.0,linear
19,123519,68887,68887,0.102168,0.102168,0.0,1.8,6.0,linear
20,121480,67581,67581,0.102518,0.102518,0.0,1.8,6.0,linear
21,121462,67235,67235,0.101617,0.101617,0.0,1.8,6.0,linear
22,122162,67437,67437,0.0994765,0.0994765,0.0,1.8,6.0,linear
23,123618,68100,68100,0.0997807,0.0997807,0.0,1.8,6.0,linear
24,124547,68547,68547,0.099423,0.099423,0.0,1.8,6.0,linear
25,124351,68678,68678,0.0993869,0.0993869,0.0,1.8,6.0,linear
26,123314,68186,68186,0.100359,0.100359,0.0,1.8,6.0,linear
27,122992,68117,68117,0.100328,0.100328,0.0,1.8,6.0,linear
28,122538,67379,67379,0.100533,0.100533,0.0,1.8,6.0,linear
29,122974,67427,67427,0.100374,0.100374,0.0,1.8,6.0,linear
30,123578,67850,67850,0.100637,0.100637,0.0,1.8,6.0,linear
31,123413,68074,68074,0.0999483,0.0999483,0.0,1.8,6.0,linear
32,123365,68166,68166,0.0998843,0.0998843,0.0,1.8,6.0,linear
33,123648,68229,68229,0.100165,0.100165,0.0,1.8,6.0,linear
34,123658,68443,68443,0.100374,0.100374,0.0,1.8,6.0,linear
35,123043,68068,68068,0.0996276,0.0996276,0.0,1.8,6.0,linear
