drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.500,0.0,0.5,6.0,linear,NAN,FLAD
0.500,0.25,0.5,6.0,linear,NAN,FLAD
0.500,0.5,0.5,6.0,linear,NAN,FLAD
0.500,0.75,0.5,6.0,linear,NAN,FLAD
0.500,1.0,0.5,6.0,linear,NAN,FLAD
0.500,1.25,0.5,6.0,linear,NAN,FLAD
0.500,1.5,0.5,6.0,linear,NAN,FLAD
0.500,1.75,0.5,6.0,linear,NAN,FLAD
0.500,2.0,0.5,6.0,linear,NAN,FLAD
0.500,2.25,0.5,6.0,linear,NAN,FLAD
0.500,2.5,0.5,6.0,linear,NAN,FLAD
0.500,2.75,0.5,6.0,linear,NAN,FLAD
0.500,3.0,0.5,6.0,linear,215.150,FLAD
0.500,3.25,0.5,6.0,linear,109.750,FLAD
0.500,3.5,0.5,6.0,linear,85.300,FLAD
0.500,3.75,0.5,6.0,linear,73.100,FLAD
0.500,4.0,0.5,6.0,linear,65.750,FLAD
0.500,4.25,0.5,6.0,linear,60.300,FLAD
0.500,4.5,0.5,6.0,linear,56.550,FLAD
0.500,4.75,0.5,6.0,linear,53.700,FLAD
0.500,5.0,0.5,6.0,linear,51.150,FLAD
0.525,0.0,0.5,6.0,linear,NAN,FLAD
0.525,0.25,0.5,6.0,linear,NAN,FLAD
0.525,0.5,0.5,6.0,linear,NAN,FLAD
0.525,0.75,0.5,6.0,linear,NAN,FLAD
0.525,1.0,0.5,6.0,linear,NAN,FLAD
0.525,1.25,0.5,6.0,linear,NAN,FLAD
0.525,1.5,0.5,6.0,linear,NAN,FLAD
0.525,1.75,0.5,6.0,linear,NAN,FLAD
0.525,2.0,0.5,6.0,linear,NAN,FLAD
0.525,2.25,0.5,6.0,linear,NAN,FLAD
0.525,2.5,0.5,6.0,linear,NAN,FLAD
0.525,2.75,0.5,6.0,linear,NAN,FLAD
0.525,3.0,0.5,6.0,linear,129.850,FLAD
0.525,3.25,0.5,6.0,linear,91.350,FLAD
0.525,3.5,0.5,6.0,linear,76.600,FLAD
0.525,3.75,0.5,6.0,linear,67.150,FLAD
0.525,4.0,0.5,6.0,linear,61.800,FLAD
0.525,4.25,0.5,6.0,linear,57.750,FLAD
0.525,4.5,0.5,6.0,linear,53.650,FLAD
0.525,4.75,0.5,6.0,linear,51.750,FLAD
0.525,5.0,0.5,6.0,linear,48.850,FLAD
0.550,0.0,0.5,6.0,linear,NAN,FLAD
0.550,0.25,0.5,6.0,linear,NAN,FLAD
0.550,0.5,0.5,6.0,linear,NAN,FLAD
0.550,0.75,0.5,6.0,linear,NAN,FLAD
0.550,1.0,0.5,6.0,linear,NAN,FLAD
0.550,1.25,0.5,6.0,linear,NAN,FLAD
0.550,1.5,0.5,6.0,linear,NAN,FLAD
0.550,1.75,0.5,6.0,linear,NAN,FLAD
0.550,2.0,0.5,6.0,linear,NAN,FLAD
0.550,2.25,0.5,6.0,linear,NAN,FLAD
0.550,2.5,0.5,6.0,linear,NAN,FLAD
0.550,2.75,0.5,6.0,linear,186.550,FLAD
0.550,3.0,0.5,6.0,linear,101.700,FLAD
0.550,3.25,0.5,6.0,linear,80.600,FLAD
0.550,3.5,0.5,6.0,linear,70.700,FLAD
0.550,3.75,0.5,6.0,linear,63.450,FLAD
0.550,4.0,0.5,6.0,linear,59.100,FLAD
0.550,4.25,0.5,6.0,linear,54.550,FLAD
0.550,4.5,0.5,6.0,linear,51.650,FLAD
0.550,4.75,0.5,6.0,linear,49.550,FLAD
0.550,5.0,0.5,6.0,linear,47.400,FLAD
0.575,0.0,0.5,6.0,linear,NAN,FLAD
0.575,0.25,0.5,6.0,linear,NAN,FLAD
