generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78232,49179,49179,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
2,78339,49199,49199,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
3,80498,50192,50192,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
4,80120,50461,50461,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
5,79492,50385,50385,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
6,78343,49980,49980,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
7,78554,50031,50031,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
8,78800,50166,50166,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
9,77851,49608,49608,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
10,78308,49834,49834,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
11,78302,49980,49980,0.0,0.0,0.0,0.0,0.5,0.475,6.0,linear
12,82653,50647,50647,0.030839,0.0359405,0.0,0.0,0.5,0.475,6.0,linear
13,82821,49931,49878,0.0539696,0.0692209,0.0,0.0,0.5,0.475,6.0,linear
14,81265,48746,48551,0.0678757,0.0970198,0.0,0.0,0.5,0.475,6.0,linear
15,79885,47261,46883,0.0843092,0.129967,0.0,0.0,0.5,0.475,6.0,linear
16,80815,46544,45887,0.100722,0.162764,0.0,0.0,0.5,0.475,6.0,linear
17,81322,45403,44490,0.117466,0.196625,0.0,0.0,0.5,0.475,6.0,linear
18,82892,44872,43607,0.131032,0.224035,0.0,0.0,0.5,0.475,6.0,linear
19,83925,44705,43167,0.143206,0.247647,0.0,0.0,0.5,0.475,6.0,linear
20,84525,44054,42244,0.155233,0.270027,0.0,0.0,0.5,0.475,6.0,linear
21,84920,43707,41638,0.165389,0.289565,0.0,0.0,0.5,0.475,6.0,linear
22,85411,43270,40983,0.175951,0.309731,0.0,0.0,0.5,0.475,6.0,linear
23,85341,42426,39859,0.186008,0.328833,0.0,0.0,0.5,0.475,6.0,linear
24,85034,41680,38916,0.196284,0.347357,0.0,0.0,0.5,0.475,6.0,linear
25,85350,41030,38058,0.20603,0.365001,0.0,0.0,0.5,0.475,6.0,linear
26,85078,40261,37147,0.215871,0.382422,0.0,0.0,0.5,0.475,6.0,linear
27,84805,39356,36133,0.224662,0.396874,0.0,0.0,0.5,0.475,6.0,linear
28,84768,38748,35383,0.234214,0.413801,0.0,0.0,0.5,0.475,6.0,linear
29,84399,38147,34637,0.241697,0.426891,0.0,0.0,0.5,0.475,6.0,linear
30,83913,37502,33793,0.24996,0.441698,0.0,0.0,0.5,0.475,6.0,linear
31,83302,36556,32707,0.258834,0.455765,0.0,0.0,0.5,0.475,6.0,linear
32,82804,35997,31981,0.266838,0.469309,0.0,0.0,0.5,0.475,6.0,linear
33,82641,35480,31312,0.277064,0.486366,0.0,0.0,0.5,0.475,6.0,linear
34,81973,34497,30164,0.286552,0.501998,0.0,0.0,0.5,0.475,6.0,linear
35,81079,33584,29151,0.295779,0.517319,0.0,0.0,0.5,0.475,6.0,linear
36,79895,32436,28065,0.304246,0.531613,0.0,0.0,0.5,0.475,6.0,linear
37,79107,31414,26974,0.312305,0.545021,0.0,0.0,0.5,0.475,6.0,linear
38,78092,30458,25967,0.320172,0.556575,0.0,0.0,0.5,0.475,6.0,linear
39,77061,29501,24939,0.329545,0.571203,0.0,0.0,0.5,0.475,6.0,linear
40,75742,28490,23883,0.339225,0.586068,0.0,0.0,0.5,0.475,6.0,linear
41,74782,27563,22844,0.348783,0.600666,0.0,0.0,0.5,0.475,6.0,linear
42,72984,26222,21592,0.359486,0.615201,0.0,0.0,0.5,0.475,6.0,linear
43,71489,25078,20467,0.368292,0.628475,0.0,0.0,0.5,0.475,6.0,linear
44,69729,23938,19304,0.378521,0.643105,0.0,0.0,0.5,0.475,6.0,linear
45,68117,22919,18265,0.387606,0.655486,0.0,0.0,0.5,0.475,6.0,linear
46,66289,21714,17085,0.398229,0.669784,0.0,0.0,0.5,0.475,6.0,linear
47,64538,20772,16097,0.408015,0.682061,0.0,0.0,0.5,0.475,6.0,linear
48,62227,19632,15022,0.421575,0.699765,0.0,0.0,0.5,0.475,6.0,linear
49,60091,18432,13983,0.431501,0.712138,0.0,0.0,0.5,0.475,6.0,linear
50,58060,17145,12846,0.442119,0.727865,0.0,0.0,0.5,0.475,6.0,linear
51,55616,15983,11736,0.452725,0.740748,0.0,0.0,0.5,0.475,6.0,linear
52,53031,14816,10717,0.467738,0.757102,0.0,0.0,0.5,0.475,6.0,linear
53,50245,13576,9665,0.480335,0.771786,0.0,0.0,0.5,0.475,6.0,linear
54,47362,12366,8538,0.494128,0.78649,0.0,0.0,0.5,0.475,6.0,linear
55,44316,11154,7462,0.505698,0.797144,0.0,0.0,0.5,0.475,6.0,linear
56,41384,10004,6585,0.525126,0.813231,0.0,0.0,0.5,0.475,6.0,linear
57,38539,8853,5669,0.541935,0.829513,0.0,0.0,0.5,0.475,6.0,linear
58,35228,7732,4791,0.560306,0.84474,0.0,0.0,0.5,0.475,6.0,linear
59,32094,6739,4030,0.576194,0.857347,0.0,0.0,0.5,0.475,6.0,linear
60,29000,5822,3398,0.596583,0.872827,0.0,0.0,0.5,0.475,6.0,linear
61,26041,4870,2681,0.616786,0.888199,0.0,0.0,0.5,0.475,6.0,linear
62,23861,4155,2155,0.639295,0.902701,0.0,0.0,0.5,0.475,6.0,linear
