generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78126,49100,49100,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
2,78252,49203,49203,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
3,79275,50131,50131,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
4,79561,50367,50367,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
5,78759,50101,50101,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
6,78287,49798,49798,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
7,78391,49657,49657,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
8,79486,50222,50222,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
9,80134,50479,50479,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
10,78161,49703,49703,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
11,77581,49542,49542,0.0,0.0,0.0,0.0,0.5,0.525,6.0,linear
12,81503,50002,50002,0.0342953,0.0400134,0.0,0.0,0.5,0.525,6.0,linear
13,83291,49725,49472,0.0598945,0.0772983,0.0,0.0,0.5,0.525,6.0,linear
14,80913,48135,47305,0.0773587,0.112634,0.000392249,0.0,0.5,0.525,6.0,linear
15,81298,47670,45898,0.0977389,0.152761,0.00163341,0.0,0.5,0.525,6.0,linear
16,82705,47774,44722,0.118246,0.192547,0.00439356,0.0,0.5,0.525,6.0,linear
17,83442,47283,42744,0.14047,0.233783,0.00875887,0.0,0.5,0.525,6.0,linear
18,81740,46000,40031,0.162645,0.274645,0.0153628,0.0,0.5,0.525,6.0,linear
19,81241,45011,37458,0.18337,0.312818,0.0242575,0.0,0.5,0.525,6.0,linear
20,82235,44601,35190,0.202935,0.34654,0.0345378,0.0,0.5,0.525,6.0,linear
21,83045,44296,32981,0.221558,0.377659,0.0456931,0.0,0.5,0.525,6.0,linear
22,83099,43603,30522,0.240757,0.409483,0.0579324,0.0,0.5,0.525,6.0,linear
23,83113,42816,27914,0.259375,0.439565,0.0716308,0.0,0.5,0.525,6.0,linear
24,83196,42291,25617,0.27604,0.466322,0.0852569,0.0,0.5,0.525,6.0,linear
25,83436,41787,23282,0.294554,0.49575,0.0993821,0.0,0.5,0.525,6.0,linear
26,83386,40983,20893,0.310707,0.521163,0.113595,0.0,0.5,0.525,6.0,linear
27,83401,40413,18753,0.325604,0.544166,0.127298,0.0,0.5,0.525,6.0,linear
28,83881,40038,16830,0.341438,0.568458,0.141052,0.0,0.5,0.525,6.0,linear
29,83626,39257,14934,0.356693,0.590245,0.153662,0.0,0.5,0.525,6.0,linear
30,82685,38331,13214,0.371294,0.612601,0.165886,0.0,0.5,0.525,6.0,linear
