heterozygotes_survival_rate,resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression,type
0.000,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.1,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.125,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.15,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.175,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.2,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.225,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.25,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.275,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.3,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.325,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.35,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.375,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.4,0.5,6.0,linear,221.500,haplolethal
0.000,0.5,0.425,0.5,6.0,linear,165.250,haplolethal
0.000,0.5,0.45,0.5,6.0,linear,135.700,haplolethal
0.000,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.475,0.5,6.0,linear,120.600,haplolethal
0.000,0.5,0.5,0.5,6.0,linear,106.700,haplolethal
0.000,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.675,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.75,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.825,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.9,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,0.975,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,1.05,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,1.125,0.5,6.0,linear,NAN,recessivelethal
0.000,0.5,1.2,0.5,6.0,linear,167.250,recessivelethal
0.000,0.5,1.275,0.5,6.0,linear,121.250,recessivelethal
0.000,0.5,1.35,0.5,6.0,linear,101.550,recessivelethal
0.000,0.5,1.425,0.5,6.0,linear,88.100,recessivelethal
0.000,0.5,1.5,0.5,6.0,linear,81.050,recessivelethal
0.025,0.5,0.0,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.0,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.025,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.05,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.075,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.075,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.1,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.125,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.15,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.15,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.175,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.2,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.225,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.225,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.25,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.275,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.3,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.3,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.325,0.5,6.0,linear,220.800,haplolethal
0.025,0.5,0.35,0.5,6.0,linear,169.700,haplolethal
0.025,0.5,0.375,0.5,6.0,linear,142.000,haplolethal
0.025,0.5,0.375,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.4,0.5,6.0,linear,124.600,haplolethal
0.025,0.5,0.425,0.5,6.0,linear,110.950,haplolethal
0.025,0.5,0.45,0.5,6.0,linear,102.900,haplolethal
0.025,0.5,0.45,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.475,0.5,6.0,linear,95.900,haplolethal
0.025,0.5,0.5,0.5,6.0,linear,90.850,haplolethal
0.025,0.5,0.525,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.6,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.675,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.75,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.825,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.9,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,0.975,0.5,6.0,linear,NAN,recessivelethal
0.025,0.5,1.05,0.5,6.0,linear,252.400,recessivelethal
0.025,0.5,1.125,0.5,6.0,linear,145.350,recessivelethal
0.025,0.5,1.2,0.5,6.0,linear,116.100,recessivelethal
0.025,0.5,1.275,0.5,6.0,linear,99.650,recessivelethal
0.025,0.5,1.35,0.5,6.0,linear,88.850,recessivelethal
0.025,0.5,1.425,0.5,6.0,linear,83.150,recessivelethal
