generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77919,49143,49143,0.0,0.0,0.5,6.5,5.0,linear
2,78283,49323,49323,0.0,0.0,0.5,6.5,5.0,linear
3,79351,49916,49916,0.0,0.0,0.5,6.5,5.0,linear
4,79692,50409,50409,0.0,0.0,0.5,6.5,5.0,linear
5,79280,50344,50344,0.0,0.0,0.5,6.5,5.0,linear
6,78387,49924,49924,0.0,0.0,0.5,6.5,5.0,linear
7,77623,49584,49584,0.0,0.0,0.5,6.5,5.0,linear
8,78258,50053,50053,0.0,0.0,0.5,6.5,5.0,linear
9,78968,50234,50234,0.0,0.0,0.5,6.5,5.0,linear
10,78635,49940,49940,0.0,0.0,0.5,6.5,5.0,linear
11,78792,50100,50100,0.0,0.0,0.5,6.5,5.0,linear
12,117858,50276,50276,0.288693,0.309112,0.5,6.5,5.0,linear
13,133189,46570,46570,0.408068,0.453937,0.5,6.5,5.0,linear
14,128179,41258,41258,0.446099,0.52788,0.5,6.5,5.0,linear
15,124866,35581,35581,0.48275,0.6036,0.5,6.5,5.0,linear
16,122907,29951,29951,0.518691,0.6753,0.5,6.5,5.0,linear
17,120222,24232,24232,0.553664,0.739315,0.5,6.5,5.0,linear
18,116438,19012,19012,0.585851,0.78923,0.5,6.5,5.0,linear
19,112002,14919,14919,0.61447,0.82598,0.5,6.5,5.0,linear
20,106261,11779,11779,0.6435,0.853077,0.5,6.5,5.0,linear
21,100028,9171,9171,0.672737,0.875809,0.5,6.5,5.0,linear
22,93811,7182,7182,0.702802,0.893652,0.5,6.5,5.0,linear
23,87885,5614,5614,0.735172,0.911277,0.5,6.5,5.0,linear
24,82664,4248,4248,0.767705,0.927844,0.5,6.5,5.0,linear
25,78368,3188,3188,0.800699,0.942122,0.5,6.5,5.0,linear
26,74243,2320,2320,0.833506,0.955857,0.5,6.5,5.0,linear
27,70533,1632,1632,0.864962,0.967066,0.5,6.5,5.0,linear
28,67497,1139,1139,0.894231,0.975909,0.5,6.5,5.0,linear
29,65339,765,765,0.920375,0.983162,0.5,6.5,5.0,linear
30,63304,524,524,0.942417,0.98819,0.5,6.5,5.0,linear
31,61941,348,348,0.959214,0.992493,0.5,6.5,5.0,linear
32,61032,215,215,0.97231,0.995323,0.5,6.5,5.0,linear
33,60221,130,130,0.981594,0.99727,0.5,6.5,5.0,linear
34,60026,84,84,0.988459,0.998344,0.5,6.5,5.0,linear
35,59407,52,52,0.992493,0.999028,0.5,6.5,5.0,linear
36,59035,21,21,0.995688,0.999611,0.5,6.5,5.0,linear
37,58995,10,10,0.997334,0.999763,0.5,6.5,5.0,linear
38,58875,10,10,0.998404,0.999796,0.5,6.5,5.0,linear
39,58533,5,5,0.999069,0.999898,0.5,6.5,5.0,linear
40,58525,1,1,0.99953,0.999966,0.5,6.5,5.0,linear
41,58851,0,0,0.999728,1.0,0.5,6.5,5.0,linear

