generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78691,49509,49509,0.0,0.0,0.0,3.0,3.0,linear
2,78308,49312,49312,0.0,0.0,0.0,3.0,3.0,linear
3,78500,49560,49560,0.0,0.0,0.0,3.0,3.0,linear
4,78907,49734,49734,0.0,0.0,0.0,3.0,3.0,linear
5,79216,50127,50127,0.0,0.0,0.0,3.0,3.0,linear
6,78677,50112,50112,0.0,0.0,0.0,3.0,3.0,linear
7,78438,50061,50061,0.0,0.0,0.0,3.0,3.0,linear
8,78525,50054,50054,0.0,0.0,0.0,3.0,3.0,linear
9,77970,49686,49686,0.0,0.0,0.0,3.0,3.0,linear
10,78512,49891,49891,0.0,0.0,0.0,3.0,3.0,linear
11,78794,50031,50031,0.0,0.0,0.0,3.0,3.0,linear
12,96775,49896,49896,0.161579,0.178853,0.0,3.0,3.0,linear
13,103511,47678,47678,0.248048,0.290865,0.0,3.0,3.0,linear
14,99187,43348,43348,0.284738,0.359118,0.0,3.0,3.0,linear
15,94962,38548,38548,0.323743,0.431513,0.0,3.0,3.0,linear
16,90518,33314,33314,0.361202,0.499518,0.0,3.0,3.0,linear
17,86195,28222,28222,0.396626,0.560176,0.0,3.0,3.0,linear
18,81347,23647,23647,0.427143,0.607286,0.0,3.0,3.0,linear
19,76627,19963,19963,0.454869,0.645524,0.0,3.0,3.0,linear
20,71871,16990,16990,0.480613,0.676748,0.0,3.0,3.0,linear
21,66989,14266,14266,0.504608,0.703377,0.0,3.0,3.0,linear
22,62494,12183,12183,0.528887,0.726251,0.0,3.0,3.0,linear
23,57987,10347,10347,0.554019,0.747336,0.0,3.0,3.0,linear
24,54112,8774,8774,0.580338,0.770385,0.0,3.0,3.0,linear
25,50563,7324,7324,0.61033,0.794541,0.0,3.0,3.0,linear
26,47454,6071,6071,0.640522,0.8186,0.0,3.0,3.0,linear
27,44350,4901,4901,0.672751,0.84165,0.0,3.0,3.0,linear
28,41678,3916,3916,0.707804,0.864291,0.0,3.0,3.0,linear
29,39084,3104,3104,0.741266,0.886322,0.0,3.0,3.0,linear
30,36976,2312,2312,0.779366,0.908575,0.0,3.0,3.0,linear
31,34755,1715,1715,0.813476,0.926876,0.0,3.0,3.0,linear
32,33126,1285,1285,0.848541,0.941573,0.0,3.0,3.0,linear
33,31704,955,955,0.878346,0.955754,0.0,3.0,3.0,linear
34,30482,646,646,0.907644,0.969225,0.0,3.0,3.0,linear
35,29549,430,430,0.933558,0.979488,0.0,3.0,3.0,linear
36,28565,290,290,0.951256,0.986695,0.0,3.0,3.0,linear
37,28007,179,179,0.966928,0.991925,0.0,3.0,3.0,linear
38,27843,94,94,0.978678,0.99538,0.0,3.0,3.0,linear
39,27628,54,54,0.986079,0.997377,0.0,3.0,3.0,linear
40,27510,27,27,0.992123,0.998805,0.0,3.0,3.0,linear
41,27296,12,12,0.995703,0.999488,0.0,3.0,3.0,linear
42,27201,7,7,0.997467,0.999743,0.0,3.0,3.0,linear
43,27260,3,3,0.998533,0.99989,0.0,3.0,3.0,linear
44,27196,2,2,0.999246,0.999926,0.0,3.0,3.0,linear
45,27108,2,2,0.99965,0.999926,0.0,3.0,3.0,linear
46,27249,0,0,0.999743,1.0,0.0,3.0,3.0,linear

