generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77812,48979,48979,0.0,0.0,0.0,1.5,11.0,linear
2,77661,48842,48842,0.0,0.0,0.0,1.5,11.0,linear
3,83087,51649,51649,0.0,0.0,0.0,1.5,11.0,linear
4,83494,52232,52232,0.0,0.0,0.0,1.5,11.0,linear
5,72608,46993,46993,0.0,0.0,0.0,1.5,11.0,linear
6,72177,47083,47083,0.0,0.0,0.0,1.5,11.0,linear
7,87562,54515,54515,0.0,0.0,0.0,1.5,11.0,linear
8,86509,53654,53654,0.0,0.0,0.0,1.5,11.0,linear
9,61948,41972,41972,0.0,0.0,0.0,1.5,11.0,linear
10,71493,46697,46697,0.0,0.0,0.0,1.5,11.0,linear
11,98950,59613,59613,0.0,0.0,0.0,1.5,11.0,linear
12,95762,53515,53515,0.0740819,0.0740819,0.0,1.5,11.0,linear
13,93287,51195,51195,0.0899027,0.0899027,0.0,1.5,11.0,linear
14,120308,65938,65938,0.0787087,0.0787087,0.0,1.5,11.0,linear
15,138647,75679,75679,0.0758209,0.0758209,0.0,1.5,11.0,linear
16,134584,74785,74785,0.0811702,0.0811702,0.0,1.5,11.0,linear
17,121291,70041,70041,0.082522,0.082522,0.0,1.5,11.0,linear
18,125804,73030,73030,0.0785926,0.0785926,0.0,1.5,11.0,linear
19,132698,75729,75729,0.0779318,0.0779318,0.0,1.5,11.0,linear
20,130555,73363,73363,0.0792464,0.0792464,0.0,1.5,11.0,linear
21,128389,72823,72823,0.077336,0.077336,0.0,1.5,11.0,linear
22,132010,75318,75318,0.0783529,0.0783529,0.0,1.5,11.0,linear
23,130751,75166,75166,0.0796442,0.0796442,0.0,1.5,11.0,linear
24,126605,72545,72545,0.0805465,0.0805465,0.0,1.5,11.0,linear
25,125092,71731,71731,0.0791596,0.0791596,0.0,1.5,11.0,linear
26,129342,73783,73783,0.076863,0.076863,0.0,1.5,11.0,linear
27,132967,75091,75091,0.0789959,0.0789959,0.0,1.5,11.0,linear
28,129554,73763,73763,0.0796407,0.0796407,0.0,1.5,11.0,linear
29,128049,73482,73482,0.0784244,0.0784244,0.0,1.5,11.0,linear
30,128785,73894,73894,0.0783335,0.0783335,0.0,1.5,11.0,linear
31,128921,73712,73712,0.079176,0.079176,0.0,1.5,11.0,linear
32,128479,73131,73131,0.0798155,0.0798155,0.0,1.5,11.0,linear
33,128735,73372,73372,0.0780949,0.0780949,0.0,1.5,11.0,linear
34,130947,74470,74470,0.0784678,0.0784678,0.0,1.5,11.0,linear
35,129225,73491,73491,0.0781499,0.0781499,0.0,1.5,11.0,linear
36,129084,73479,73479,0.0786373,0.0786373,0.0,1.5,11.0,linear
37,128541,73155,73155,0.0793303,0.0793303,0.0,1.5,11.0,linear
38,127687,72578,72578,0.0786996,0.0786996,0.0,1.5,11.0,linear
39,129266,73627,73627,0.0785226,0.0785226,0.0,1.5,11.0,linear
40,129931,73964,73964,0.0789188,0.0789188,0.0,1.5,11.0,linear
41,128368,73357,73357,0.0788225,0.0788225,0.0,1.5,11.0,linear
42,128124,73160,73160,0.0783225,0.0783225,0.0,1.5,11.0,linear
43,130365,74338,74338,0.0782986,0.0782986,0.0,1.5,11.0,linear
44,130511,74462,74462,0.0792402,0.0792402,0.0,1.5,11.0,linear
45,127622,73084,73084,0.0798257,0.0798257,0.0,1.5,11.0,linear
46,128055,73354,73354,0.0794529,0.0794529,0.0,1.5,11.0,linear
47,129941,73839,73839,0.0800809,0.0800809,0.0,1.5,11.0,linear
48,129691,73627,73627,0.079529,0.079529,0.0,1.5,11.0,linear
49,128876,73130,73130,0.0799613,0.0799613,0.0,1.5,11.0,linear
50,128786,73089,73089,0.0782415,0.0782415,0.0,1.5,11.0,linear
51,131869,74806,74806,0.079327,0.079327,0.0,1.5,11.0,linear
52,129373,73666,73666,0.0798244,0.0798244,0.0,1.5,11.0,linear
53,126468,72383,72383,0.0793788,0.0793788,0.0,1.5,11.0,linear
54,129716,73903,73903,0.0788898,0.0788898,0.0,1.5,11.0,linear
55,131494,74638,74638,0.0779912,0.0779912,0.0,1.5,11.0,linear
56,131251,74662,74662,0.078812,0.078812,0.0,1.5,11.0,linear
57,128127,73166,73166,0.0799276,0.0799276,0.0,1.5,11.0,linear
58,127097,72801,72801,0.0787479,0.0787479,0.0,1.5,11.0,linear
59,129456,73892,73892,0.0770245,0.0770245,0.0,1.5,11.0,linear
60,132078,74927,74927,0.0781856,0.0781856,0.0,1.5,11.0,linear
61,130090,74051,74051,0.0792946,0.0792946,0.0,1.5,11.0,linear
62,128079,73582,73582,0.0796595,0.0796595,0.0,1.5,11.0,linear
