drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
1.0,0.0,0.5,10.0,linear,NAN,FLAD
1.0,0.0,0.5,11.0,linear,NAN,FLAD
1.0,0.0,0.5,12.0,linear,NAN,FLAD
1.0,0.0,0.5,13.0,linear,NAN,FLAD
1.0,0.0,0.5,14.0,linear,NAN,FLAD
1.0,0.0,0.5,15.0,linear,NAN,FLAD
1.0,0.0,0.5,16.0,linear,NAN,FLAD
1.0,0.0,0.5,2.0,linear,NAN,FLAD
1.0,0.0,0.5,3.0,linear,NAN,FLAD
1.0,0.0,0.5,4.0,linear,NAN,FLAD
1.0,0.0,0.5,5.0,linear,NAN,FLAD
1.0,0.0,0.5,6.0,linear,NAN,FLAD
1.0,0.0,0.5,7.0,linear,NAN,FLAD
1.0,0.0,0.5,8.0,linear,NAN,FLAD
1.0,0.0,0.5,9.0,linear,NAN,FLAD
1.0,0.5,0.5,10.0,linear,NAN,FLAD
1.0,0.5,0.5,11.0,linear,NAN,FLAD
1.0,0.5,0.5,12.0,linear,NAN,FLAD
1.0,0.5,0.5,13.0,linear,NAN,FLAD
1.0,0.5,0.5,14.0,linear,NAN,FLAD
1.0,0.5,0.5,15.0,linear,NAN,FLAD
1.0,0.5,0.5,16.0,linear,NAN,FLAD
1.0,0.5,0.5,2.0,linear,51.300,FLAD
1.0,0.5,0.5,3.0,linear,96.400,FLAD
1.0,0.5,0.5,4.0,linear,NAN,FLAD
1.0,0.5,0.5,5.0,linear,NAN,FLAD
1.0,0.5,0.5,6.0,linear,NAN,FLAD
1.0,0.5,0.5,7.0,linear,NAN,FLAD
1.0,0.5,0.5,8.0,linear,NAN,FLAD
1.0,0.5,0.5,9.0,linear,NAN,FLAD
1.0,10.0,0.5,10.0,linear,37.200,FLAD
1.0,10.0,0.5,11.0,linear,40.000,FLAD
1.0,10.0,0.5,12.0,linear,42.700,FLAD
1.0,10.0,0.5,13.0,linear,45.700,FLAD
1.0,10.0,0.5,14.0,linear,49.850,FLAD
1.0,10.0,0.5,15.0,linear,54.200,FLAD
1.0,10.0,0.5,16.0,linear,62.250,FLAD
1.0,10.0,0.5,2.0,linear,23.000,FLAD
1.0,10.0,0.5,3.0,linear,24.900,FLAD
1.0,10.0,0.5,4.0,linear,26.300,FLAD
1.0,10.0,0.5,5.0,linear,27.400,FLAD
1.0,10.0,0.5,6.0,linear,29.300,FLAD
1.0,10.0,0.5,7.0,linear,30.950,FLAD
1.0,10.0,0.5,8.0,linear,33.050,FLAD
1.0,10.0,0.5,9.0,linear,34.700,FLAD
1.0,1.0,0.5,10.0,linear,NAN,FLAD
1.0,1.0,0.5,11.0,linear,NAN,FLAD
1.0,1.0,0.5,12.0,linear,NAN,FLAD
1.0,1.0,0.5,13.0,linear,NAN,FLAD
1.0,1.0,0.5,14.0,linear,NAN,FLAD
1.0,1.0,0.5,15.0,linear,NAN,FLAD
1.0,1.0,0.5,16.0,linear,NAN,FLAD
1.0,1.0,0.5,2.0,linear,37.650,FLAD
1.0,1.0,0.5,3.0,linear,49.150,FLAD
1.0,1.0,0.5,4.0,linear,72.600,FLAD
1.0,1.0,0.5,5.0,linear,NAN,FLAD
1.0,1.0,0.5,6.0,linear,NAN,FLAD
1.0,1.0,0.5,7.0,linear,NAN,FLAD
1.0,1.0,0.5,8.0,linear,NAN,FLAD
1.0,1.0,0.5,9.0,linear,NAN,FLAD
1.0,1.5,0.5,10.0,linear,NAN,FLAD
1.0,1.5,0.5,11.0,linear,NAN,FLAD
1.0,1.5,0.5,12.0,linear,NAN,FLAD
