generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78793,49463,49463,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
2,78604,49293,49293,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
3,79434,50196,50196,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
4,80357,50659,50659,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
5,78912,50220,50220,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
6,78722,50264,50264,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
7,77151,49409,49409,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
8,76946,49076,49076,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
9,78704,49960,49960,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
10,79901,50477,50477,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
11,78337,49866,49866,0.0,0.0,0.0,0.0,0.5,0.9,6.0,linear
12,82455,49455,49455,0.0573147,0.0662934,0.0,0.0,0.5,0.9,6.0,linear
13,84735,48662,48662,0.0956187,0.120628,0.0,0.0,0.5,0.9,6.0,linear
14,84523,47414,47414,0.115005,0.160316,0.000138884,0.0,0.5,0.9,6.0,linear
15,83420,45109,45094,0.137846,0.205359,0.000768328,0.0,0.5,0.9,6.0,linear
16,82606,42961,42879,0.160439,0.251711,0.0020664,0.0,0.5,0.9,6.0,linear
17,83566,41560,41340,0.179381,0.291191,0.00427432,0.0,0.5,0.9,6.0,linear
18,84131,39873,39421,0.193913,0.320773,0.00783641,0.0,0.5,0.9,6.0,linear
19,84121,38512,37641,0.20576,0.345639,0.0128732,0.0,0.5,0.9,6.0,linear
20,84567,37537,36149,0.216449,0.36791,0.0188524,0.0,0.5,0.9,6.0,linear
21,84969,36867,34831,0.224904,0.385132,0.0261445,0.0,0.5,0.9,6.0,linear
22,84679,36003,33245,0.23144,0.398124,0.0342232,0.0,0.5,0.9,6.0,linear
23,84274,35298,31715,0.23691,0.409193,0.0422141,0.0,0.5,0.9,6.0,linear
24,84111,34753,30421,0.243024,0.421018,0.0516071,0.0,0.5,0.9,6.0,linear
25,83476,33919,28720,0.247251,0.430115,0.0607051,0.0,0.5,0.9,6.0,linear
26,83630,33474,27491,0.251204,0.438846,0.0698067,0.0,0.5,0.9,6.0,linear
27,83608,32936,26245,0.253599,0.442859,0.0790435,0.0,0.5,0.9,6.0,linear
28,83449,32738,25233,0.254721,0.445064,0.0872122,0.0,0.5,0.9,6.0,linear
29,83630,32690,24418,0.256445,0.449143,0.0961708,0.0,0.5,0.9,6.0,linear
30,82999,32425,23351,0.258394,0.453356,0.105024,0.0,0.5,0.9,6.0,linear
31,83451,32321,22486,0.260165,0.456701,0.112956,0.0,0.5,0.9,6.0,linear
32,83216,31958,21566,0.261652,0.45887,0.12088,0.0,0.5,0.9,6.0,linear
33,83494,31789,20773,0.263403,0.46206,0.127273,0.0,0.5,0.9,6.0,linear
34,82998,31544,20098,0.265726,0.466647,0.134388,0.0,0.5,0.9,6.0,linear
35,82747,31428,19474,0.267617,0.470096,0.139712,0.0,0.5,0.9,6.0,linear
36,82105,31171,18863,0.267802,0.471164,0.144154,0.0,0.5,0.9,6.0,linear
37,82059,31006,18571,0.268885,0.472857,0.148168,0.0,0.5,0.9,6.0,linear
38,82033,30752,17916,0.267971,0.470929,0.152937,0.0,0.5,0.9,6.0,linear
39,82102,30850,17697,0.268152,0.472279,0.157335,0.0,0.5,0.9,6.0,linear
40,82557,30963,17556,0.26844,0.47287,0.160107,0.0,0.5,0.9,6.0,linear
41,82575,30802,17105,0.270932,0.476614,0.163388,0.0,0.5,0.9,6.0,linear
42,82396,30667,16682,0.272621,0.479922,0.165342,0.0,0.5,0.9,6.0,linear
43,81992,30422,16388,0.273023,0.480889,0.167989,0.0,0.5,0.9,6.0,linear
44,81807,30229,16111,0.272391,0.479536,0.171033,0.0,0.5,0.9,6.0,linear
45,81686,30284,15946,0.271834,0.478597,0.173184,0.0,0.5,0.9,6.0,linear
46,82173,30588,15887,0.272069,0.479183,0.176287,0.0,0.5,0.9,6.0,linear
47,81868,30543,15557,0.271807,0.479381,0.177991,0.0,0.5,0.9,6.0,linear
48,81778,30409,15289,0.272391,0.480252,0.18082,0.0,0.5,0.9,6.0,linear
