generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78550,49340,49340,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
2,78469,49345,49345,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
3,78977,49677,49677,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
4,79152,50220,50220,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
5,79037,50244,50244,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
6,78260,49856,49856,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
7,78511,49839,49839,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
8,78973,50059,50059,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
9,77807,49623,49623,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
10,78147,49716,49716,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
11,79523,50381,50381,0.0,0.0,0.0,0.0,0.5,1.1,6.0,linear
12,86161,50449,50449,0.0683591,0.0782741,0.0,0.0,0.5,1.1,6.0,linear
13,87171,48782,48782,0.113214,0.140394,0.0,0.0,0.5,1.1,6.0,linear
14,84432,46196,46196,0.136557,0.187622,0.0,0.0,0.5,1.1,6.0,linear
15,83943,44307,44307,0.161166,0.238386,0.0,0.0,0.5,1.1,6.0,linear
16,84483,42352,42352,0.185743,0.288898,0.0,0.0,0.5,1.1,6.0,linear
17,85128,40244,40244,0.207724,0.33532,0.0,0.0,0.5,1.1,6.0,linear
18,85706,38399,38399,0.225737,0.373146,0.0,0.0,0.5,1.1,6.0,linear
19,85621,36635,36635,0.242726,0.408225,0.0,0.0,0.5,1.1,6.0,linear
20,85773,35229,35229,0.257173,0.437249,0.0,0.0,0.5,1.1,6.0,linear
21,85451,33876,33876,0.269108,0.461528,0.0,0.0,0.5,1.1,6.0,linear
22,84909,32306,32306,0.280547,0.483643,0.0,0.0,0.5,1.1,6.0,linear
23,84041,30805,30805,0.293901,0.50953,0.0,0.0,0.5,1.1,6.0,linear
24,82241,29074,29074,0.305258,0.530937,0.0,0.0,0.5,1.1,6.0,linear
25,80151,27424,27424,0.316537,0.553229,0.0,0.0,0.5,1.1,6.0,linear
26,78615,25916,25916,0.324658,0.568431,0.0,0.0,0.5,1.1,6.0,linear
27,77062,24512,24512,0.335434,0.587393,0.0,0.0,0.5,1.1,6.0,linear
28,75201,23006,23006,0.345716,0.604925,0.0,0.0,0.5,1.1,6.0,linear
29,72548,21467,21467,0.353907,0.618721,0.0,0.0,0.5,1.1,6.0,linear
30,70291,19911,19911,0.364651,0.637015,0.0,0.0,0.5,1.1,6.0,linear
31,68018,18540,18540,0.373776,0.65283,0.0,0.0,0.5,1.1,6.0,linear
32,65136,17100,17100,0.382559,0.667166,0.0,0.0,0.5,1.1,6.0,linear
33,62369,15690,15690,0.390892,0.680312,0.0,0.0,0.5,1.1,6.0,linear
34,59714,14530,14530,0.398877,0.689864,0.0,0.0,0.5,1.1,6.0,linear
35,56970,13502,13502,0.408678,0.704973,0.0,0.0,0.5,1.1,6.0,linear
36,54223,12198,12198,0.420031,0.721465,0.0,0.0,0.5,1.1,6.0,linear
37,51618,11000,11000,0.430123,0.734341,0.0,0.0,0.5,1.1,6.0,linear
38,48786,9920,9920,0.439856,0.746595,0.0,0.0,0.5,1.1,6.0,linear
39,45955,8824,8824,0.451963,0.761999,0.0,0.0,0.5,1.1,6.0,linear
40,42780,7661,7661,0.466117,0.779752,0.0,0.0,0.5,1.1,6.0,linear
41,40085,6570,6570,0.479837,0.792485,0.0,0.0,0.5,1.1,6.0,linear
42,36958,5692,5692,0.495499,0.80542,0.0,0.0,0.5,1.1,6.0,linear
43,33244,4732,4732,0.513367,0.822585,0.0,0.0,0.5,1.1,6.0,linear
44,30278,3987,3987,0.532336,0.838422,0.0,0.0,0.5,1.1,6.0,linear
45,27473,3187,3187,0.557049,0.856647,0.0,0.0,0.5,1.1,6.0,linear
46,24599,2491,2491,0.581893,0.874896,0.0,0.0,0.5,1.1,6.0,linear
47,22006,1935,1935,0.60949,0.888047,0.0,0.0,0.5,1.1,6.0,linear
48,20116,1493,1493,0.645342,0.905053,0.0,0.0,0.5,1.1,6.0,linear
49,17916,1108,1108,0.682004,0.922824,0.0,0.0,0.5,1.1,6.0,linear
50,16087,779,779,0.728622,0.941681,0.0,0.0,0.5,1.1,6.0,linear
51,14485,529,529,0.771604,0.955939,0.0,0.0,0.5,1.1,6.0,linear
52,13424,380,380,0.815055,0.967985,0.0,0.0,0.5,1.1,6.0,linear
53,12444,233,233,0.859316,0.978362,0.0,0.0,0.5,1.1,6.0,linear
54,11565,150,150,0.899615,0.985413,0.0,0.0,0.5,1.1,6.0,linear
55,11057,82,82,0.929512,0.990128,0.0,0.0,0.5,1.1,6.0,linear
56,10680,48,48,0.953789,0.993692,0.0,0.0,0.5,1.1,6.0,linear
57,10386,25,25,0.972722,0.997048,0.0,0.0,0.5,1.1,6.0,linear
58,10061,13,13,0.9829,0.998324,0.0,0.0,0.5,1.1,6.0,linear
59,10107,7,7,0.991605,0.999309,0.0,0.0,0.5,1.1,6.0,linear
60,9993,5,5,0.995557,0.999501,0.0,0.0,0.5,1.1,6.0,linear
61,9841,3,3,0.997615,0.999696,0.0,0.0,0.5,1.1,6.0,linear
62,9910,0,0,0.999243,1.0,0.0,0.0,0.5,1.1,6.0,linear

