generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_complete_r2,rate_partial_r2,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78106,49075,49075,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
2,77962,48991,48991,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
3,80227,50404,50404,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
4,79935,50524,50524,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
5,78488,49917,49917,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
6,77795,49840,49840,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
7,78276,50111,50111,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
8,78424,49898,49898,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
9,78118,49754,49754,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
10,78550,50018,50018,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
11,78493,50086,50086,0.0,0.0,0.0,0.0,0.5,3.0,6.0,linear
12,95638,49535,49535,0.163282,0.181243,0.0,0.0,0.5,3.0,6.0,linear
13,102940,47595,47595,0.248736,0.291288,0.0,0.0,0.5,3.0,6.0,linear
14,99401,43667,43667,0.284287,0.362709,0.0,0.0,0.5,3.0,6.0,linear
15,97398,39445,39445,0.320332,0.438537,0.0,0.0,0.5,3.0,6.0,linear
16,96639,35523,35523,0.352537,0.507559,3.6462e-06,0.0,0.5,3.0,6.0,linear
17,96342,31566,31566,0.38192,0.568719,2.52578e-05,0.0,0.5,3.0,6.0,linear
18,95338,27722,27720,0.405237,0.615714,5.76066e-05,0.0,0.5,3.0,6.0,linear
19,94514,24776,24770,0.424028,0.651248,8.351e-05,0.0,0.5,3.0,6.0,linear
20,92630,22533,22526,0.437755,0.675798,0.000114536,0.0,0.5,3.0,6.0,linear
21,90245,20290,20279,0.451809,0.697682,0.000152072,0.0,0.5,3.0,6.0,linear
22,87768,18530,18523,0.46406,0.715093,0.000207498,0.0,0.5,3.0,6.0,linear
23,84781,16839,16828,0.475754,0.731652,0.000268267,0.0,0.5,3.0,6.0,linear
24,81742,15488,15469,0.486242,0.744111,0.000304509,0.0,0.5,3.0,6.0,linear
25,78597,14128,14105,0.496829,0.755577,0.000387079,0.0,0.5,3.0,6.0,linear
26,75674,12903,12872,0.506158,0.763585,0.000464479,0.0,0.5,3.0,6.0,linear
27,73079,11840,11806,0.516834,0.775436,0.000603795,0.0,0.5,3.0,6.0,linear
28,70415,10986,10947,0.527143,0.784904,0.000780094,0.0,0.5,3.0,6.0,linear
29,67755,9871,9831,0.538996,0.795577,0.000864259,0.0,0.5,3.0,6.0,linear
30,65293,9082,9044,0.550817,0.806315,0.000932175,0.0,0.5,3.0,6.0,linear
31,62335,8133,8099,0.564376,0.817649,0.000878298,0.0,0.5,3.0,6.0,linear
32,59805,7423,7382,0.576981,0.826637,0.000889105,0.0,0.5,3.0,6.0,linear
33,57296,6598,6565,0.592345,0.839272,0.00105205,0.0,0.5,3.0,6.0,linear
34,54786,5874,5831,0.608928,0.852941,0.0011022,0.0,0.5,3.0,6.0,linear
35,52297,5121,5079,0.626908,0.863975,0.00119068,0.0,0.5,3.0,6.0,linear
36,50218,4419,4379,0.643076,0.873795,0.00127679,0.0,0.5,3.0,6.0,linear
37,47734,3875,3841,0.662717,0.880792,0.00143417,0.0,0.5,3.0,6.0,linear
38,45253,3322,3285,0.683823,0.892943,0.00158874,0.0,0.5,3.0,6.0,linear
39,42942,2813,2775,0.706919,0.903897,0.00162551,0.0,0.5,3.0,6.0,linear
40,40614,2359,2325,0.728388,0.915421,0.00176835,0.0,0.5,3.0,6.0,linear
41,39145,1965,1924,0.754182,0.926725,0.00180993,0.0,0.5,3.0,6.0,linear
42,37134,1557,1520,0.782176,0.939307,0.00196787,0.0,0.5,3.0,6.0,linear
43,35423,1213,1181,0.810506,0.951881,0.00218163,0.0,0.5,3.0,6.0,linear
44,33765,896,872,0.839552,0.963299,0.00212145,0.0,0.5,3.0,6.0,linear
45,32441,654,634,0.86648,0.971802,0.00192773,0.0,0.5,3.0,6.0,linear
46,31379,444,432,0.899101,0.980193,0.00136756,0.0,0.5,3.0,6.0,linear
47,30051,280,276,0.923855,0.986489,0.000996709,0.0,0.5,3.0,6.0,linear
48,29023,181,180,0.945344,0.991124,0.000567253,0.0,0.5,3.0,6.0,linear
49,28456,122,121,0.961177,0.994341,0.000325811,0.0,0.5,3.0,6.0,linear
50,28100,71,71,0.973852,0.996701,0.000175488,0.0,0.5,3.0,6.0,linear
51,27569,42,42,0.983343,0.998059,1.79688e-05,0.0,0.5,3.0,6.0,linear
52,27515,20,20,0.990107,0.99924,0.0,0.0,0.5,3.0,6.0,linear
53,27243,12,12,0.994526,0.999561,0.0,0.0,0.5,3.0,6.0,linear
54,27032,5,5,0.997027,0.999815,0.0,0.0,0.5,3.0,6.0,linear
55,27189,1,1,0.998658,0.999963,0.0,0.0,0.5,3.0,6.0,linear
56,27195,0,0,0.999356,1.0,0.0,0.0,0.5,3.0,6.0,linear

