resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,generation_to_suppression,type
0.000,0.0,0.5,6.0,linear,NAN,haplolethal
0.000,0.1,0.5,6.0,linear,NAN,haplolethal
0.000,0.2,0.5,6.0,linear,NAN,haplolethal
0.000,0.3,0.5,6.0,linear,NAN,haplolethal
0.000,0.4,0.5,6.0,linear,NAN,haplolethal
0.000,0.5,0.5,6.0,linear,NAN,haplolethal
0.000,0.6,0.5,6.0,linear,NAN,haplolethal
0.000,0.7,0.5,6.0,linear,NAN,haplolethal
0.000,0.8,0.5,6.0,linear,NAN,haplolethal
0.000,0.9,0.5,6.0,linear,NAN,haplolethal
0.000,1.0,0.5,6.0,linear,NAN,haplolethal
0.000,1.1,0.5,6.0,linear,NAN,haplolethal
0.000,1.2,0.5,6.0,linear,NAN,haplolethal
0.000,1.3,0.5,6.0,linear,NAN,haplolethal
0.000,1.4,0.5,6.0,linear,NAN,haplolethal
0.000,1.5,0.5,6.0,linear,210.050,haplolethal
0.000,1.6,0.5,6.0,linear,124.650,haplolethal
0.000,1.7,0.5,6.0,linear,99.150,haplolethal
0.000,1.8,0.5,6.0,linear,86.850,haplolethal
0.000,1.9,0.5,6.0,linear,76.950,haplolethal
0.000,2.0,0.5,6.0,linear,70.600,haplolethal
0.025,0.0,0.5,6.0,linear,NAN,haplolethal
0.025,0.1,0.5,6.0,linear,NAN,haplolethal
0.025,0.2,0.5,6.0,linear,NAN,haplolethal
0.025,0.3,0.5,6.0,linear,NAN,haplolethal
0.025,0.4,0.5,6.0,linear,NAN,haplolethal
0.025,0.5,0.5,6.0,linear,NAN,haplolethal
0.025,0.6,0.5,6.0,linear,NAN,haplolethal
0.025,0.7,0.5,6.0,linear,NAN,haplolethal
0.025,0.8,0.5,6.0,linear,NAN,haplolethal
0.025,0.9,0.5,6.0,linear,NAN,haplolethal
0.025,1.0,0.5,6.0,linear,NAN,haplolethal
0.025,1.1,0.5,6.0,linear,NAN,haplolethal
0.025,1.2,0.5,6.0,linear,NAN,haplolethal
0.025,1.3,0.5,6.0,linear,NAN,haplolethal
0.025,1.4,0.5,6.0,linear,291.000,haplolethal
0.025,1.5,0.5,6.0,linear,139.950,haplolethal
0.025,1.6,0.5,6.0,linear,106.300,haplolethal
0.025,1.7,0.5,6.0,linear,89.750,haplolethal
0.025,1.8,0.5,6.0,linear,79.000,haplolethal
0.025,1.9,0.5,6.0,linear,72.400,haplolethal
0.025,2.0,0.5,6.0,linear,67.000,haplolethal
0.050,0.0,0.5,6.0,linear,NAN,haplolethal
0.050,0.1,0.5,6.0,linear,NAN,haplolethal
0.050,0.2,0.5,6.0,linear,NAN,haplolethal
0.050,0.3,0.5,6.0,linear,NAN,haplolethal
0.050,0.4,0.5,6.0,linear,NAN,haplolethal
0.050,0.5,0.5,6.0,linear,NAN,haplolethal
0.050,0.6,0.5,6.0,linear,NAN,haplolethal
0.050,0.7,0.5,6.0,linear,NAN,haplolethal
0.050,0.8,0.5,6.0,linear,NAN,haplolethal
0.050,0.9,0.5,6.0,linear,NAN,haplolethal
0.050,1.0,0.5,6.0,linear,NAN,haplolethal
0.050,1.1,0.5,6.0,linear,NAN,haplolethal
0.050,1.2,0.5,6.0,linear,NAN,haplolethal
0.050,1.3,0.5,6.0,linear,NAN,haplolethal
0.050,1.4,0.5,6.0,linear,164.350,haplolethal
0.050,1.5,0.5,6.0,linear,113.400,haplolethal
0.050,1.6,0.5,6.0,linear,93.550,haplolethal
0.050,1.7,0.5,6.0,linear,82.000,haplolethal
0.050,1.8,0.5,6.0,linear,73.700,haplolethal
0.050,1.9,0.5,6.0,linear,68.150,haplolethal
0.050,2.0,0.5,6.0,linear,64.100,haplolethal
0.075,0.0,0.5,6.0,linear,NAN,haplolethal
0.075,0.1,0.5,6.0,linear,NAN,haplolethal
0.075,0.2,0.5,6.0,linear,NAN,haplolethal
0.075,0.3,0.5,6.0,linear,NAN,haplolethal
0.075,0.4,0.5,6.0,linear,NAN,haplolethal
0.075,0.5,0.5,6.0,linear,NAN,haplolethal
0.075,0.6,0.5,6.0,linear,NAN,haplolethal
0.075,0.7,0.5,6.0,linear,NAN,haplolethal
0.075,0.8,0.5,6.0,linear,NAN,haplolethal
0.075,0.9,0.5,6.0,linear,NAN,haplolethal
0.075,1.0,0.5,6.0,linear,NAN,haplolethal
