generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78031,49156,49156,0.0,0.0,0.0,1.75,6.0,concave
2,78246,49267,49267,0.0,0.0,0.0,1.75,6.0,concave
3,77950,49254,49254,0.0,0.0,0.0,1.75,6.0,concave
4,78202,49508,49508,0.0,0.0,0.0,1.75,6.0,concave
5,78380,49765,49765,0.0,0.0,0.0,1.75,6.0,concave
6,78494,50019,50019,0.0,0.0,0.0,1.75,6.0,concave
7,78483,50022,50022,0.0,0.0,0.0,1.75,6.0,concave
8,79090,50452,50452,0.0,0.0,0.0,1.75,6.0,concave
9,78904,50254,50254,0.0,0.0,0.0,1.75,6.0,concave
10,79075,50323,50323,0.0,0.0,0.0,1.75,6.0,concave
11,78984,50198,50198,0.0,0.0,0.0,1.75,6.0,concave
12,89284,50199,50199,0.0899177,0.0899177,0.0,1.75,6.0,concave
13,93674,49714,49714,0.131679,0.131679,0.0,1.75,6.0,concave
14,91493,48677,48677,0.134699,0.134699,0.0,1.75,6.0,concave
15,89160,47366,47366,0.140031,0.140031,0.0,1.75,6.0,concave
16,86149,45644,45644,0.145801,0.145801,0.0,1.75,6.0,concave
17,82657,43519,43519,0.150589,0.150589,0.0,1.75,6.0,concave
18,79245,41371,41371,0.157328,0.157328,0.0,1.75,6.0,concave
19,76186,39337,39337,0.163206,0.163206,0.0,1.75,6.0,concave
20,73965,37632,37632,0.16917,0.16917,0.0,1.75,6.0,concave
21,72287,36300,36300,0.174529,0.174529,0.0,1.75,6.0,concave
22,70278,34935,34935,0.178668,0.178668,0.0,1.75,6.0,concave
23,68477,33995,33995,0.183187,0.183187,0.0,1.75,6.0,concave
24,66852,33023,33023,0.186843,0.186843,0.0,1.75,6.0,concave
25,65334,31914,31914,0.19109,0.19109,0.0,1.75,6.0,concave
26,64086,31231,31231,0.192871,0.192871,0.0,1.75,6.0,concave
27,62962,30405,30405,0.199793,0.199793,0.0,1.75,6.0,concave
28,61892,29680,29680,0.202829,0.202829,0.0,1.75,6.0,concave
29,61023,29088,29088,0.205941,0.205941,0.0,1.75,6.0,concave
30,60189,28410,28410,0.210814,0.210814,0.0,1.75,6.0,concave
31,59025,27633,27633,0.214526,0.214526,0.0,1.75,6.0,concave
32,58148,26980,26980,0.216992,0.216992,0.0,1.75,6.0,concave
33,57394,26589,26589,0.219505,0.219505,0.0,1.75,6.0,concave
34,56665,26138,26138,0.224276,0.224276,0.0,1.75,6.0,concave
35,55732,25460,25460,0.228484,0.228484,0.0,1.75,6.0,concave
36,54968,25010,25010,0.230876,0.230876,0.0,1.75,6.0,concave
37,54034,24488,24488,0.234868,0.234868,0.0,1.75,6.0,concave
38,53386,23968,23968,0.239337,0.239337,0.0,1.75,6.0,concave
39,52666,23588,23588,0.240884,0.240884,0.0,1.75,6.0,concave
40,51597,22956,22956,0.245217,0.245217,0.0,1.75,6.0,concave
41,51042,22437,22437,0.250309,0.250309,0.0,1.75,6.0,concave
42,49886,21746,21746,0.256781,0.256781,0.0,1.75,6.0,concave
43,48996,21331,21331,0.259724,0.259724,0.0,1.75,6.0,concave
44,48444,21110,21110,0.26142,0.26142,0.0,1.75,6.0,concave
45,47853,20709,20709,0.264244,0.264244,0.0,1.75,6.0,concave
46,47405,20322,20322,0.269115,0.269115,0.0,1.75,6.0,concave
47,47067,20015,20015,0.272045,0.272045,0.0,1.75,6.0,concave
48,46571,19682,19682,0.276628,0.276628,0.0,1.75,6.0,concave
49,45950,19336,19336,0.280829,0.280829,0.0,1.75,6.0,concave
50,45327,18933,18933,0.285366,0.285366,0.0,1.75,6.0,concave
51,44524,18468,18468,0.289614,0.289614,0.0,1.75,6.0,concave
52,43886,18046,18046,0.295194,0.295194,0.0,1.75,6.0,concave
53,43009,17402,17402,0.302817,0.302817,0.0,1.75,6.0,concave
54,42381,17019,17019,0.312019,0.312019,0.0,1.75,6.0,concave
55,41453,16413,16413,0.319659,0.319659,0.0,1.75,6.0,concave
56,40328,15863,15863,0.323805,0.323805,0.0,1.75,6.0,concave
57,39411,15233,15233,0.33149,0.33149,0.0,1.75,6.0,concave
58,38625,14691,14691,0.339675,0.339675,0.0,1.75,6.0,concave
59,37832,14127,14127,0.351608,0.351608,0.0,1.75,6.0,concave
60,36649,13434,13434,0.363046,0.363046,0.0,1.75,6.0,concave
61,35723,12914,12914,0.375498,0.375498,0.0,1.75,6.0,concave
62,34879,12328,12328,0.389538,0.389538,0.0,1.75,6.0,concave
63,33664,11587,11587,0.403438,0.403438,0.0,1.75,6.0,concave
64,32472,10812,10812,0.415382,0.415382,0.0,1.75,6.0,concave
65,31590,10275,10275,0.432877,0.432877,0.0,1.75,6.0,concave
66,30463,9555,9555,0.452804,0.452804,0.0,1.75,6.0,concave
67,29315,8902,8902,0.479229,0.479229,0.0,1.75,6.0,concave
68,27931,8035,8035,0.50271,0.50271,0.0,1.75,6.0,concave
69,26883,7450,7450,0.526555,0.526555,0.0,1.75,6.0,concave
70,25690,6635,6635,0.556109,0.556109,0.0,1.75,6.0,concave
71,24588,5787,5787,0.596749,0.596749,0.0,1.75,6.0,concave
72,23227,4934,4934,0.636261,0.636261,0.0,1.75,6.0,concave
73,22063,4210,4210,0.677734,0.677734,0.0,1.75,6.0,concave
74,20875,3463,3463,0.721477,0.721477,0.0,1.75,6.0,concave
75,19778,2769,2769,0.766654,0.766654,0.0,1.75,6.0,concave
76,19044,2241,2241,0.811009,0.811009,0.0,1.75,6.0,concave
77,18179,1746,1746,0.853433,0.853433,0.0,1.75,6.0,concave
78,17474,1288,1288,0.891699,0.891699,0.0,1.75,6.0,concave
79,16971,886,886,0.924174,0.924174,0.0,1.75,6.0,concave
80,16479,628,628,0.94712,0.94712,0.0,1.75,6.0,concave
81,16340,406,406,0.965513,0.965513,0.0,1.75,6.0,concave
82,15971,249,249,0.978432,0.978432,0.0,1.75,6.0,concave
83,15961,157,157,0.986921,0.986921,0.0,1.75,6.0,concave
84,15890,94,94,0.9922,0.9922,0.0,1.75,6.0,concave
85,15782,57,57,0.99506,0.99506,0.0,1.75,6.0,concave
86,15802,32,32,0.997405,0.997405,0.0,1.75,6.0,concave
87,15800,14,14,0.998987,0.998987,0.0,1.75,6.0,concave
88,15822,5,5,0.999684,0.999684,0.0,1.75,6.0,concave
89,15727,2,2,0.999873,0.999873,0.0,1.75,6.0,concave
90,15708,2,2,0.999873,0.999873,0.0,1.75,6.0,concave
91,15809,1,1,0.999937,0.999937,0.0,1.75,6.0,concave
92,15785,0,0,1.0,1.0,0.0,1.75,6.0,concave

