generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77727,49020,49020,0.0,0.0,0.0,19.0,6.0,convex
2,78092,49173,49173,0.0,0.0,0.0,19.0,6.0,convex
3,82213,51260,51260,0.0,0.0,0.0,19.0,6.0,convex
4,81413,51108,51108,0.0,0.0,0.0,19.0,6.0,convex
5,73987,47891,47891,0.0,0.0,0.0,19.0,6.0,convex
6,76658,49278,49278,0.0,0.0,0.0,19.0,6.0,convex
7,85171,53263,53263,0.0,0.0,0.0,19.0,6.0,convex
8,80115,50540,50540,0.0,0.0,0.0,19.0,6.0,convex
9,68385,45073,45073,0.0,0.0,0.0,19.0,6.0,convex
10,77416,49293,49293,0.0,0.0,0.0,19.0,6.0,convex
11,91657,55995,55995,0.0,0.0,0.0,19.0,6.0,convex
12,192937,49806,49806,0.434442,0.434442,0.0,19.0,6.0,convex
13,289728,70075,70075,0.504278,0.504278,0.0,19.0,6.0,convex
14,301179,78403,78403,0.48548,0.48548,0.0,19.0,6.0,convex
15,309986,84459,84459,0.485957,0.485957,0.0,19.0,6.0,convex
16,302041,83590,83590,0.50513,0.50513,0.0,19.0,6.0,convex
17,292892,79714,79714,0.528792,0.528792,0.0,19.0,6.0,convex
18,280276,73201,73201,0.555077,0.555077,0.0,19.0,6.0,convex
19,266741,63926,63926,0.587934,0.587934,0.0,19.0,6.0,convex
20,254619,55868,55868,0.623052,0.623052,0.0,19.0,6.0,convex
21,243262,48142,48142,0.661162,0.661162,0.0,19.0,6.0,convex
22,231087,40536,40536,0.702394,0.702394,0.0,19.0,6.0,convex
23,220268,33646,33646,0.745788,0.745788,0.0,19.0,6.0,convex
24,210830,27231,27231,0.791043,0.791043,0.0,19.0,6.0,convex
25,201086,20875,20875,0.83469,0.83469,0.0,19.0,6.0,convex
26,192829,15626,15626,0.875272,0.875272,0.0,19.0,6.0,convex
27,186281,11176,11176,0.909638,0.909638,0.0,19.0,6.0,convex
28,181928,7812,7812,0.938524,0.938524,0.0,19.0,6.0,convex
29,177853,5129,5129,0.960148,0.960148,0.0,19.0,6.0,convex
30,175113,3234,3234,0.975453,0.975453,0.0,19.0,6.0,convex
31,173858,1949,1949,0.985504,0.985504,0.0,19.0,6.0,convex
32,172845,1086,1086,0.992106,0.992106,0.0,19.0,6.0,convex
33,171916,584,584,0.995917,0.995917,0.0,19.0,6.0,convex
34,172218,279,279,0.998049,0.998049,0.0,19.0,6.0,convex
35,171714,143,143,0.999062,0.999062,0.0,19.0,6.0,convex
36,171715,72,72,0.99954,0.99954,0.0,19.0,6.0,convex
37,171227,30,30,0.999801,0.999801,0.0,19.0,6.0,convex
38,171235,8,8,0.999953,0.999953,0.0,19.0,6.0,convex
39,171196,1,1,0.999994,0.999994,0.0,19.0,6.0,convex
40,171111,0,0,1.0,1.0,0.0,19.0,6.0,convex

