generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,77807,49022,49022,0.0,0.0,0.0,19.0,6.0,linear
2,77767,48835,48835,0.0,0.0,0.0,19.0,6.0,linear
3,79967,50369,50369,0.0,0.0,0.0,19.0,6.0,linear
4,80509,50808,50808,0.0,0.0,0.0,19.0,6.0,linear
5,79497,50630,50630,0.0,0.0,0.0,19.0,6.0,linear
6,77939,50007,50007,0.0,0.0,0.0,19.0,6.0,linear
7,77681,49751,49751,0.0,0.0,0.0,19.0,6.0,linear
8,77188,49170,49170,0.0,0.0,0.0,19.0,6.0,linear
9,78630,49824,49824,0.0,0.0,0.0,19.0,6.0,linear
10,79175,50208,50208,0.0,0.0,0.0,19.0,6.0,linear
11,79054,50153,50153,0.0,0.0,0.0,19.0,6.0,linear
12,192825,49865,49865,0.478167,0.478167,0.0,19.0,6.0,linear
13,267294,58607,58607,0.554666,0.554666,0.0,19.0,6.0,linear
14,276578,63681,63681,0.548954,0.548954,0.0,19.0,6.0,linear
15,276028,64744,64744,0.561342,0.561342,0.0,19.0,6.0,linear
16,267111,62137,62137,0.592737,0.592737,0.0,19.0,6.0,linear
17,253588,55432,55432,0.634312,0.634312,0.0,19.0,6.0,linear
18,238867,46898,46898,0.677542,0.677542,0.0,19.0,6.0,linear
19,226004,38338,38338,0.722065,0.722065,0.0,19.0,6.0,linear
20,215573,30720,30720,0.766724,0.766724,0.0,19.0,6.0,linear
21,205562,23970,23970,0.8127,0.8127,0.0,19.0,6.0,linear
22,197243,18412,18412,0.854313,0.854313,0.0,19.0,6.0,linear
23,190147,13642,13642,0.891588,0.891588,0.0,19.0,6.0,linear
24,184442,9609,9609,0.923625,0.923625,0.0,19.0,6.0,linear
25,179734,6557,6557,0.948367,0.948367,0.0,19.0,6.0,linear
26,176676,4267,4267,0.967186,0.967186,0.0,19.0,6.0,linear
27,174794,2619,2619,0.980343,0.980343,0.0,19.0,6.0,linear
28,173122,1483,1483,0.989225,0.989225,0.0,19.0,6.0,linear
29,172146,827,827,0.994215,0.994215,0.0,19.0,6.0,linear
30,171616,421,421,0.997156,0.997156,0.0,19.0,6.0,linear
31,172010,178,178,0.998866,0.998866,0.0,19.0,6.0,linear
32,171968,69,69,0.999593,0.999593,0.0,19.0,6.0,linear
33,171716,21,21,0.999878,0.999878,0.0,19.0,6.0,linear
34,171466,5,5,0.999971,0.999971,0.0,19.0,6.0,linear
35,171746,0,0,1.0,1.0,0.0,19.0,6.0,linear

