drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,generation_to_suppression
0.0,0.0,6.0,concave,NAN
0.0,0.25,6.0,concave,NAN
0.0,0.5,6.0,concave,NAN
0.0,0.75,6.0,concave,NAN
0.0,1.0,6.0,concave,NAN
0.0,1.25,6.0,concave,NAN
0.0,1.5,6.0,concave,218.650
0.0,1.75,6.0,concave,80.050
0.0,2.0,6.0,concave,61.150
0.0,2.25,6.0,concave,52.550
0.0,2.5,6.0,concave,47.500
0.0,2.75,6.0,concave,43.850
0.0,3.0,6.0,concave,41.450
0.0,3.25,6.0,concave,39.350
0.0,3.5,6.0,concave,37.450
0.0,3.75,6.0,concave,36.600
0.0,4.0,6.0,concave,35.650
0.0,4.25,6.0,concave,34.400
0.0,4.5,6.0,concave,33.750
0.0,4.75,6.0,concave,32.750
0.0,5.0,6.0,concave,32.150
0.0,0.0,6.0,convex,NAN
0.0,10.0,6.0,convex,69.750
0.0,1.0,6.0,convex,NAN
0.0,11.0,6.0,convex,49.250
0.0,12.0,6.0,convex,41.950
0.0,13.0,6.0,convex,38.900
0.0,14.0,6.0,convex,36.300
0.0,15.0,6.0,convex,34.650
0.0,16.0,6.0,convex,33.050
0.0,17.0,6.0,convex,32.100
0.0,18.0,6.0,convex,31.050
0.0,19.0,6.0,convex,30.400
0.0,20.0,6.0,convex,29.950
0.0,2.0,6.0,convex,NAN
0.0,3.0,6.0,convex,NAN
0.0,4.0,6.0,convex,NAN
0.0,5.0,6.0,convex,NAN
0.0,6.0,6.0,convex,NAN
0.0,7.0,6.0,convex,NAN
0.0,8.0,6.0,convex,NAN
0.0,9.0,6.0,convex,NAN
0.0,0.0,6.0,linear,NAN
0.0,10.0,6.0,linear,34.400
0.0,1.0,6.0,linear,NAN
0.0,11.0,6.0,linear,32.500
0.0,12.0,6.0,linear,31.800
0.0,13.0,6.0,linear,30.700
0.0,14.0,6.0,linear,29.700
0.0,15.0,6.0,linear,29.250
0.0,16.0,6.0,linear,28.950
0.0,17.0,6.0,linear,27.850
0.0,18.0,6.0,linear,27.100
0.0,19.0,6.0,linear,26.600
0.0,20.0,6.0,linear,26.450
0.0,2.0,6.0,linear,NAN
0.0,3.0,6.0,linear,NAN
0.0,4.0,6.0,linear,NAN
0.0,5.0,6.0,linear,NAN
0.0,6.0,6.0,linear,66.600
0.0,7.0,6.0,linear,46.900
0.0,8.0,6.0,linear,40.250
0.0,9.0,6.0,linear,36.800
