generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,rate_cas,rate_has_cas,drive_efficiency,total_germline_resistance_rate,drop_ratio,low_density_growth_rate,density_growth_curve
1,78113,49168,49168,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
2,78051,49215,49215,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
3,79288,50018,50018,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
4,79321,50143,50143,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
5,78580,50118,50118,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
6,78492,50108,50108,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
7,78558,50064,50064,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
8,77957,49732,49732,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
9,78864,49946,49946,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
10,79327,50218,50218,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
11,78631,49833,49833,0.0,0.0,0.0,0.0,0.5,0.0,4.75,0.0,6.0,linear
12,106900,49736,49736,0.230398,0.250328,0.230398,0.250328,0.5,0.0,4.75,0.0,6.0,linear
13,118688,47322,47322,0.334673,0.380339,0.334673,0.380339,0.5,0.0,4.75,0.0,6.0,linear
14,115080,42979,42979,0.371533,0.45444,0.371433,0.454238,0.5,0.0,4.75,0.0,6.0,linear
15,112007,37996,37996,0.407666,0.530172,0.407158,0.529157,0.5,0.0,4.75,0.0,6.0,linear
16,110843,33038,33038,0.441646,0.601983,0.440698,0.600066,0.5,0.0,4.75,0.0,6.0,linear
17,109746,28351,28351,0.471822,0.663766,0.470434,0.660721,0.5,0.0,4.75,0.0,6.0,linear
18,107925,23670,23670,0.495637,0.709261,0.493623,0.704367,0.5,0.0,4.75,0.0,6.0,linear
19,106401,20458,20458,0.514175,0.739953,0.512708,0.73482,0.5,0.0,4.75,0.0,6.0,linear
20,103281,17878,17878,0.530178,0.760963,0.530091,0.756267,0.5,0.0,4.75,0.0,6.0,linear
21,100016,15860,15860,0.545315,0.77835,0.547729,0.774526,0.5,0.0,4.75,0.0,6.0,linear
22,95775,14039,14039,0.55863,0.79289,0.56525,0.791666,0.5,0.0,4.75,0.0,6.0,linear
23,92376,12605,12605,0.572823,0.802777,0.584969,0.806953,0.5,0.0,4.75,0.0,6.0,linear
24,88814,11473,11473,0.586134,0.812103,0.604291,0.820798,0.5,0.0,4.75,0.0,6.0,linear
25,85454,10406,10406,0.599737,0.824315,0.623382,0.835532,0.5,0.0,4.75,0.0,6.0,linear
26,82160,9273,9273,0.613184,0.835344,0.641883,0.8496,0.5,0.0,4.75,0.0,6.0,linear
27,79347,8381,8381,0.628832,0.846984,0.663094,0.865022,0.5,0.0,4.75,0.0,6.0,linear
28,76316,7347,7347,0.643478,0.857859,0.681697,0.878608,0.5,0.0,4.75,0.0,6.0,linear
29,73657,6495,6495,0.661511,0.868754,0.703324,0.892178,0.5,0.0,4.75,0.0,6.0,linear
30,70888,5753,5753,0.680574,0.880748,0.72557,0.905058,0.5,0.0,4.75,0.0,6.0,linear
31,67733,4963,4963,0.699039,0.892726,0.745323,0.917011,0.5,0.0,4.75,0.0,6.0,linear
32,65335,4227,4227,0.719184,0.903107,0.766721,0.92752,0.5,0.0,4.75,0.0,6.0,linear
33,62375,3585,3585,0.740718,0.914452,0.788791,0.938768,0.5,0.0,4.75,0.0,6.0,linear
34,60182,2950,2950,0.764568,0.925388,0.810987,0.948021,0.5,0.0,4.75,0.0,6.0,linear
35,57656,2387,2387,0.788672,0.936941,0.834516,0.958164,0.5,0.0,4.75,0.0,6.0,linear
36,55536,1950,1950,0.812953,0.947372,0.855576,0.965725,0.5,0.0,4.75,0.0,6.0,linear
37,53387,1545,1545,0.838712,0.95589,0.878113,0.972731,0.5,0.0,4.75,0.0,6.0,linear
38,51193,1198,1198,0.862962,0.964078,0.898563,0.9788,0.5,0.0,4.75,0.0,6.0,linear
39,49474,909,909,0.88611,0.972826,0.917851,0.985003,0.5,0.0,4.75,0.0,6.0,linear
40,48235,679,679,0.906926,0.978882,0.934132,0.988214,0.5,0.0,4.75,0.0,6.0,linear
41,47278,526,526,0.926069,0.983118,0.947555,0.990509,0.5,0.0,4.75,0.0,6.0,linear
42,45942,371,371,0.941727,0.987635,0.959541,0.993776,0.5,0.0,4.75,0.0,6.0,linear
43,45143,268,268,0.955973,0.991216,0.970258,0.995285,0.5,0.0,4.75,0.0,6.0,linear
44,44643,174,174,0.966274,0.994235,0.977487,0.997106,0.5,0.0,4.75,0.0,6.0,linear
