drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.500,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,2.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,3.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,3.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.500,3.5,0.5,0.0,6.0,264.400,FLADSPLIT
0.500,3.75,0.5,0.0,6.0,167.100,FLADSPLIT
0.500,4.0,0.5,0.0,6.0,123.450,FLADSPLIT
0.500,4.25,0.5,0.0,6.0,98.650,FLADSPLIT
0.500,4.5,0.5,0.0,6.0,84.250,FLADSPLIT
0.500,4.75,0.5,0.0,6.0,74.800,FLADSPLIT
0.500,5.0,0.5,0.0,6.0,67.650,FLADSPLIT
0.525,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,2.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,3.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.525,3.25,0.5,0.0,6.0,300.000,FLADSPLIT
0.525,3.5,0.5,0.0,6.0,191.750,FLADSPLIT
0.525,3.75,0.5,0.0,6.0,133.550,FLADSPLIT
0.525,4.0,0.5,0.0,6.0,105.200,FLADSPLIT
0.525,4.25,0.5,0.0,6.0,87.850,FLADSPLIT
0.525,4.5,0.5,0.0,6.0,77.250,FLADSPLIT
0.525,4.75,0.5,0.0,6.0,69.050,FLADSPLIT
0.525,5.0,0.5,0.0,6.0,64.250,FLADSPLIT
0.550,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,0.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,1.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,1.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,1.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,1.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,2.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,2.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,2.5,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,2.75,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,3.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.550,3.25,0.5,0.0,6.0,235.550,FLADSPLIT
0.550,3.5,0.5,0.0,6.0,152.200,FLADSPLIT
0.550,3.75,0.5,0.0,6.0,113.700,FLADSPLIT
0.550,4.0,0.5,0.0,6.0,92.250,FLADSPLIT
0.550,4.25,0.5,0.0,6.0,79.650,FLADSPLIT
0.550,4.5,0.5,0.0,6.0,71.150,FLADSPLIT
0.550,4.75,0.5,0.0,6.0,64.300,FLADSPLIT
0.550,5.0,0.5,0.0,6.0,60.450,FLADSPLIT
0.575,0.0,0.5,0.0,6.0,NAN,FLADSPLIT
0.575,0.25,0.5,0.0,6.0,NAN,FLADSPLIT
0.575,0.5,0.5,0.0,6.0,NAN,FLADSPLIT
