generation,size,female_size,fertile_female_size,rate_dr,rate_has_drive,drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve
1,78043,49310,49310,0.0,0.0,0.0,2.0,6.0,linear
2,78306,49512,49512,0.0,0.0,0.0,2.0,6.0,linear
3,79423,50051,50051,0.0,0.0,0.0,2.0,6.0,linear
4,79664,50634,50634,0.0,0.0,0.0,2.0,6.0,linear
5,79620,50562,50562,0.0,0.0,0.0,2.0,6.0,linear
6,77731,49576,49576,0.0,0.0,0.0,2.0,6.0,linear
7,76394,48834,48834,0.0,0.0,0.0,2.0,6.0,linear
8,78626,49959,49959,0.0,0.0,0.0,2.0,6.0,linear
9,80823,50910,50910,0.0,0.0,0.0,2.0,6.0,linear
10,79122,50220,50220,0.0,0.0,0.0,2.0,6.0,linear
11,76941,49244,49244,0.0,0.0,0.0,2.0,6.0,linear
12,89943,49739,49739,0.114005,0.127719,0.0,2.0,6.0,linear
13,95675,48584,48584,0.180653,0.214991,0.0,2.0,6.0,linear
14,91683,45021,45021,0.208305,0.272148,0.0,2.0,6.0,linear
15,90538,42125,42050,0.238565,0.333601,0.0,2.0,6.0,linear
16,90527,39522,39224,0.264087,0.38816,0.0,2.0,6.0,linear
17,90757,36716,35940,0.286156,0.433867,0.0,2.0,6.0,linear
18,91033,34229,32543,0.303183,0.46838,0.0,2.0,6.0,linear
19,91304,32743,29764,0.314466,0.493237,0.0,2.0,6.0,linear
20,91695,31782,27044,0.319191,0.504885,0.0,2.0,6.0,linear
21,92159,31234,24591,0.324292,0.514802,0.0,2.0,6.0,linear
22,91707,30607,21947,0.327485,0.520872,0.0,2.0,6.0,linear
23,91375,30259,19685,0.328914,0.524385,0.0,2.0,6.0,linear
24,91381,29957,17825,0.331645,0.529477,0.0,2.0,6.0,linear
25,91126,29615,16160,0.335579,0.535668,0.0,2.0,6.0,linear
26,90337,29031,14481,0.337514,0.539537,0.0,2.0,6.0,linear
27,89980,28611,13223,0.339373,0.542606,0.0,2.0,6.0,linear
28,89725,28353,12244,0.343286,0.54983,0.0,2.0,6.0,linear
29,88621,27979,11293,0.344247,0.553283,0.0,2.0,6.0,linear
30,88063,27329,10374,0.349521,0.561384,0.0,2.0,6.0,linear
31,87628,26772,9672,0.351631,0.565461,0.0,2.0,6.0,linear
32,87379,26291,9206,0.355212,0.571092,0.0,2.0,6.0,linear
33,86565,25831,8846,0.357613,0.574952,0.0,2.0,6.0,linear
34,85594,25359,8409,0.361343,0.581521,0.0,2.0,6.0,linear
35,85433,25006,7984,0.364457,0.586807,0.0,2.0,6.0,linear
36,84756,24494,7667,0.366141,0.590414,0.0,2.0,6.0,linear
37,84552,24190,7476,0.36897,0.592359,0.0,2.0,6.0,linear
38,83233,23846,7253,0.369051,0.594251,0.0,2.0,6.0,linear
39,83049,23680,7164,0.371394,0.597721,0.0,2.0,6.0,linear
40,82359,23414,6963,0.373796,0.60232,0.0,2.0,6.0,linear
41,82140,23008,6729,0.376041,0.604693,0.0,2.0,6.0,linear
42,81686,22824,6505,0.375699,0.604698,0.0,2.0,6.0,linear
43,81572,22593,6301,0.377282,0.607231,0.0,2.0,6.0,linear
44,81009,22305,6194,0.378811,0.608288,0.0,2.0,6.0,linear
45,80722,22227,6089,0.379687,0.610574,0.0,2.0,6.0,linear
46,80379,21991,5934,0.380659,0.612104,0.0,2.0,6.0,linear
47,79992,21863,5853,0.382124,0.61376,0.0,2.0,6.0,linear
48,79757,21593,5753,0.38548,0.618466,0.0,2.0,6.0,linear
49,78950,21147,5597,0.386794,0.621098,0.0,2.0,6.0,linear
50,78649,21044,5560,0.389212,0.62504,0.0,2.0,6.0,linear
51,77665,20372,5329,0.39123,0.628959,0.0,2.0,6.0,linear
52,77871,20359,5212,0.393224,0.630231,0.0,2.0,6.0,linear
53,77209,20094,5154,0.396252,0.635046,0.0,2.0,6.0,linear
54,76376,19745,4988,0.396437,0.635527,0.0,2.0,6.0,linear
55,76193,19538,4953,0.398806,0.637275,0.0,2.0,6.0,linear
56,75311,19192,4851,0.399896,0.639733,0.0,2.0,6.0,linear
57,74973,19060,4819,0.402033,0.64304,0.0,2.0,6.0,linear
58,74189,18745,4578,0.404602,0.647117,0.0,2.0,6.0,linear
59,73685,18446,4413,0.406978,0.650322,0.0,2.0,6.0,linear
60,73056,18026,4268,0.407316,0.649798,0.0,2.0,6.0,linear
61,72577,17877,4165,0.410192,0.654796,0.0,2.0,6.0,linear
62,72075,17604,4078,0.412868,0.659166,0.0,2.0,6.0,linear
63,71491,17138,3980,0.416614,0.664469,0.0,2.0,6.0,linear
64,70604,16811,3919,0.415831,0.660314,0.0,2.0,6.0,linear
65,70104,16689,3910,0.41747,0.661917,0.0,2.0,6.0,linear
66,69526,16486,3912,0.417442,0.662209,0.0,2.0,6.0,linear
67,68807,16339,3846,0.419122,0.665153,0.0,2.0,6.0,linear
68,68594,16325,3790,0.420346,0.666634,0.0,2.0,6.0,linear
69,68280,16035,3627,0.421792,0.668618,0.0,2.0,6.0,linear
70,68392,16005,3616,0.424905,0.672251,0.0,2.0,6.0,linear
71,68134,15806,3557,0.425915,0.674112,0.0,2.0,6.0,linear
72,67387,15509,3523,0.425862,0.675588,0.0,2.0,6.0,linear
