drive_fitness,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,weeks_to_suppression,type
0.500,0.0,0.0,6.0,linear,NAN,TARE
0.500,0.25,0.0,6.0,linear,NAN,TARE
0.500,0.5,0.0,6.0,linear,NAN,TARE
0.500,0.75,0.0,6.0,linear,NAN,TARE
0.500,1.0,0.0,6.0,linear,NAN,TARE
0.500,1.25,0.0,6.0,linear,NAN,TARE
0.500,1.5,0.0,6.0,linear,NAN,TARE
0.500,1.75,0.0,6.0,linear,NAN,TARE
0.500,2.0,0.0,6.0,linear,NAN,TARE
0.500,2.25,0.0,6.0,linear,NAN,TARE
0.500,2.5,0.0,6.0,linear,NAN,TARE
0.500,2.75,0.0,6.0,linear,NAN,TARE
0.500,3.0,0.0,6.0,linear,NAN,TARE
0.500,3.25,0.0,6.0,linear,258.421,TARE
0.500,3.5,0.0,6.0,linear,122.500,TARE
0.500,3.75,0.0,6.0,linear,95.100,TARE
0.500,4.0,0.0,6.0,linear,81.400,TARE
0.500,4.25,0.0,6.0,linear,73.000,TARE
0.500,4.5,0.0,6.0,linear,67.550,TARE
0.500,4.75,0.0,6.0,linear,62.750,TARE
0.500,5.0,0.0,6.0,linear,58.400,TARE
0.525,0.0,0.0,6.0,linear,NAN,TARE
0.525,0.25,0.0,6.0,linear,NAN,TARE
0.525,0.5,0.0,6.0,linear,NAN,TARE
0.525,0.75,0.0,6.0,linear,NAN,TARE
0.525,1.0,0.0,6.0,linear,NAN,TARE
0.525,1.25,0.0,6.0,linear,NAN,TARE
0.525,1.5,0.0,6.0,linear,NAN,TARE
0.525,1.75,0.0,6.0,linear,NAN,TARE
0.525,2.0,0.0,6.0,linear,NAN,TARE
0.525,2.25,0.0,6.0,linear,NAN,TARE
0.525,2.5,0.0,6.0,linear,NAN,TARE
0.525,2.75,0.0,6.0,linear,NAN,TARE
0.525,3.0,0.0,6.0,linear,NAN,TARE
0.525,3.25,0.0,6.0,linear,145.100,TARE
0.525,3.5,0.0,6.0,linear,103.050,TARE
0.525,3.75,0.0,6.0,linear,84.550,TARE
0.525,4.0,0.0,6.0,linear,74.900,TARE
