"generation","adult_population_size","adult_female_population_size","juvenile_population_size","adult_drive_frequency","juvenile_drive_frequency","drive_efficiency"
1,78230.1,49211.2,28478,0,0,0.5
2,78134.95,49177.5,30196.85,0,0,0.5
3,79743.3,50192.7,29322.1,0,0,0.5
4,80185.35,50632.55,27752.8,0,0,0.5
5,78885.25,50186.3,27703.5,0,0,0.5
6,77676.85,49721,28655.05,0,0,0.5
7,77994.15,49838.25,29028.1,0,0,0.5
8,78722.85,50036.6,28745.5,0,0,0.5
9,78840.85,50034.5,28647.9,0,0,0.5
10,78812.45,50065.3,28587.6,0,0,0.5
11,78755.35,50104.9,28511.95,0,0,0.5
12,96696.25,50079.4,28354.75,0.18653145,0.078685265,0.5
13,103208.9,47664.8,28519.5,0.2729772,0.1586773,0.5
14,99044.85,43492.85,32990.2,0.3034364,0.2241242,0.5
15,97208.45,39453.65,37487.8,0.33542055,0.27675385,0.5
16,97166.45,35582.85,40198.35,0.36522095,0.3198834,0.5
17,96752.15,31526.9,42486.95,0.3950348,0.3501818,0.5
18,95756.1,27767.1,43417.25,0.4233802,0.3655322,0.5
19,94471.9,24810.3,43249.4,0.4458748,0.37654815,0.5
20,92655.5,22372.15,42553.15,0.4640884,0.38486305,0.5
21,72266.4,20233.85,41222.75,0.3504098,0.3792585,0.5
22,60915.45,18869.85,39834.05,0.26282715,0.3650908,0.5
23,59218.2,18477.6,38776.85,0.25696045,0.3385622,0.5
24,58814.3,19287.55,38442.3,0.23848835,0.3142455,0.5
25,59765.4,20995.85,39441.6,0.21491265,0.2917537,0.5
26,62560.95,23538.15,40852.8,0.1913265,0.27047425,0.5
27,66794,26779.9,42454.65,0.1703007,0.2527323,0.5
28,71787.7,30380.85,43403.5,0.1527693,0.23467675,0.5
29,76733.75,34059.4,43301,0.13699885,0.21860115,0.5
30,80557.2,37417.7,42223,0.12292015,0.2038053,0.5
31,82881.05,40090.9,40239.9,0.1105082,0.18923735,0.5
32,83258.45,41870.05,38546.2,0.098985165,0.178175,0.5
33,82548.8,42847.2,37088.95,0.089531075,0.16587685,0.5
34,81379.8,43305.65,36425.7,0.08133973,0.1550266,0.5
35,80600.2,43632.35,36114.55,0.07443417,0.14534795,0.5
36,80360.05,43991.65,35792.25,0.068687815,0.1352018,0.5
37,80557.25,44568.45,35298.45,0.063385355,0.1266107,0.5
38,80684.2,45126.6,34891.15,0.0584818,0.1180118,0.5
39,80873.2,45671.5,34131.8,0.05391919,0.1107143,0.5
40,80702.4,46068.9,33777.95,0.04959329,0.10284054,0.5
41,80527.65,46434.85,33022,0.04573354,0.095834725,0.5
42,80060.65,46573.2,32852.4,0.042200075,0.089479595,0.5
43,79825.65,46733.9,32676.05,0.03887589,0.08475601,0.5
44,79807.15,46976.95,32541.9,0.03616042,0.0788014,0.5
45,79952.85,47308.55,32260.85,0.03372788,0.0732153,0.5
46,80010.05,47610.8,31783.75,0.031106675,0.068800825,0.5
47,79863.95,47804.05,31503.25,0.02879698,0.06443449,0.5
48,79613.15,47903.85,31167,0.026735175,0.060070155,0.5
