generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
1,78378,49284,28538,0.0,0.0,0.25
2,78227,49175,29996,0.0,0.0,0.25
3,79646,50064,29826,0.0,0.0,0.25
4,80663,50822,28146,0.0,0.0,0.25
5,79751,50713,27603,0.0,0.0,0.25
6,78198,50008,27138,0.0,0.0,0.25
7,76729,49220,28649,0.0,0.0,0.25
8,77242,49066,30443,0.0,0.0,0.25
9,79408,49930,29946,0.0,0.0,0.25
10,80755,50648,27995,0.0,0.0,0.25
11,79372,50336,27117,0.0,0.0,0.25
12,95711,49674,29119,0.188369,0.0755349,0.25
13,103251,47897,28895,0.271857,0.155546,0.25
14,99479,43877,32421,0.300953,0.221939,0.25
15,97237,39431,37384,0.334939,0.27358,0.25
16,96847,35572,40278,0.364637,0.316029,0.25
17,97041,31945,42583,0.39303,0.345009,0.25
18,96469,28336,43084,0.419617,0.355863,0.25
19,94787,25499,43252,0.438921,0.362527,0.25
20,93665,23573,42645,0.45335,0.369059,0.25
21,74032,21825,42101,0.335206,0.359481,0.25
22,63415,20976,41311,0.242782,0.329658,0.25
23,63537,21716,40092,0.22793,0.292702,0.25
24,65205,24101,41395,0.200644,0.260659,0.25
25,68648,27416,42639,0.170872,0.232194,0.25
26,73517,31708,43299,0.143518,0.204416,0.25
27,79294,36504,43247,0.120123,0.182498,0.25
28,84144,40999,40558,0.101469,0.163655,0.25
29,86004,44050,37666,0.0867343,0.146153,0.25
30,85377,45688,34686,0.0741593,0.129346,0.25
31,82674,46076,33117,0.0624259,0.117719,0.25
32,79873,45663,33242,0.0537541,0.105935,0.25
33,79306,45809,34269,0.0481489,0.0909714,0.25
34,80246,46534,33112,0.0423136,0.0844407,0.25
35,80714,47188,32708,0.0375028,0.0763422,0.25
36,80875,47884,31591,0.0333292,0.0665379,0.25
37,80086,47977,30270,0.0291437,0.0619095,0.25
38,78651,47562,32459,0.0259183,0.0543147,0.25
