generation,adult_population_size,adult_female_population_size,juvenile_population_size,adult_drive_frequency,juvenile_drive_frequency,drive_efficiency
1,78504,49399,28332,0.0,0.0,1.0
2,78258,49392,30440,0.0,0.0,1.0
3,80144,50689,28899,0.0,0.0,1.0
4,80209,51044,26451,0.0,0.0,1.0
5,77544,49799,27030,0.0,0.0,1.0
6,75920,48888,29550,0.0,0.0,1.0
7,77974,49690,29888,0.0,0.0,1.0
8,79701,50422,28589,0.0,0.0,1.0
9,79302,50381,27670,0.0,0.0,1.0
10,78398,50184,28549,0.0,0.0,1.0
11,78558,50352,29062,0.0,0.0,1.0
12,97189,50462,28589,0.185885,0.0795761,1.0
13,103807,47989,27650,0.271513,0.159819,1.0
14,98417,43286,33650,0.30416,0.229881,1.0
15,97283,39305,37811,0.337418,0.279033,1.0
16,97256,35523,40548,0.36808,0.328031,1.0
17,96792,31120,41967,0.399547,0.365084,1.0
18,94546,26758,43576,0.43298,0.385155,1.0
19,92579,23163,43194,0.461692,0.4042,1.0
20,90034,19881,41899,0.488726,0.420332,1.0
21,68268,16647,39342,0.388938,0.429122,1.0
22,54770,13906,36259,0.314132,0.429342,1.0
23,50036,11781,32401,0.325855,0.430527,1.0
24,45060,10092,29413,0.333633,0.428722,1.0
25,40388,8847,26113,0.334555,0.42318,1.0
26,36018,7979,24043,0.33157,0.431747,1.0
27,32557,7094,22411,0.333922,0.428763,1.0
28,30077,6538,20270,0.335339,0.421066,1.0
29,27559,6069,19236,0.331906,0.430235,1.0
30,25505,5470,17868,0.334091,0.425006,1.0
31,23937,5156,16541,0.333521,0.433075,1.0
32,22242,4700,14898,0.338953,0.427306,1.0
33,20426,4316,14344,0.33871,0.428716,1.0
34,19020,4005,13354,0.339169,0.423394,1.0
35,17963,3790,12291,0.335746,0.433285,1.0
36,16635,3496,11820,0.338834,0.430457,1.0
37,15685,3312,10864,0.339464,0.427697,1.0
38,14582,3055,10246,0.340625,0.421872,1.0
39,13729,2908,9897,0.335567,0.429019,1.0
40,13118,2746,9529,0.337247,0.434988,1.0
41,12308,2507,8831,0.343476,0.430132,1.0
